Time,T,Shares,Price,MPID,X
14455834,B,1,1488700,,Q
14465811,B,12,1488700,,Q
14478280,S,1,1488800,,Q
14484315,S,6,1488800,,Q
14486751,S,50,1488800,,Q
14488178,S,32,1488800,,Q
14488178,S,100,1488800,,Q
14489923,B,9,1488800,,Q
14493298,B,1,1488800,,Q
14494526,B,400,1488800,,Q
14502964,B,1,1488800,,Q
14509363,B,33,1488800,,Q
14509886,B,24,1488800,,Q
14509886,B,37,1488700,,Q
14509886,B,13,1488700,,Q
14541997,B,3,1488400,,Q
14542893,B,50,1488500,,Q
14542893,S,26,1488700,,Q
14542893,B,50,1488700,,Q
14542896,B,274,1489400,,Q
14563073,B,50,1489100,,Q
14563073,B,50,1489100,,Q
14563073,S,100,1489400,,Q
14583038,S,30,1489300,,Q
14583129,B,370,1489300,,Q
14589049,S,1,1489100,,Q
14589049,S,1,1489100,,Q
14589049,S,1,1489100,,Q
14589049,S,1,1489100,,Q
14589049,S,1,1489100,,Q
14589049,S,1,1489100,,Q
14589049,S,2,1489100,,Q
14590361,S,3,1489100,,Q
14592361,S,1,1489100,,Q
14592625,S,1,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,2,1489100,,Q
14593195,S,1,1489100,,Q
14593195,S,3,1489100,,Q
14593659,S,2,1489100,,Q
14595079,S,1,1488900,,Q
14596047,S,1,1489100,,Q
14596047,S,1,1489100,,Q
14596047,S,1,1489100,,Q
14596047,S,1,1489100,,Q
14596047,S,1,1489100,,Q
14596047,S,1,1489100,,Q
14596047,S,1,1489100,,Q
14596047,S,1,1489100,,Q
14596068,S,1,1489100,,Q
14596068,S,1,1489100,,Q
14596068,S,1,1489100,,Q
14596068,S,5,1489100,,Q
14597370,S,1,1488900,,Q
