Time,T,Shares,Price,MPID,X
14443776,B,1,32910000,,Q
14449394,B,6,32910000,,Q
14453493,B,49,32910000,,Q
14456636,B,44,32910000,,Q
14535067,S,1,32910000,,Q
14547793,B,1,32910200,,Q
14589494,B,1,32911000,,Q
14666009,B,2,32912000,,Q
14747303,B,11,32912000,,Q
14818915,B,1,32912000,,Q
14830254,B,1,32912000,,Q
14842272,B,2,32902800,,Q
14901101,B,1,32900000,,Q
14901101,B,2,32896900,,Q
14902164,B,2,32890500,,Q
14903227,B,2,32890500,,Q
14904002,B,11,32890500,,Q
15076067,B,2,32905300,,Q
15076067,S,18,32904500,,Q
15112084,S,4,32928900,,Q
15125260,S,10,32928900,,Q
15913295,B,1,32928900,,Q
16068986,S,2,32928900,,Q
16083321,B,4,32929000,,Q
16111268,B,1,32929000,,Q
16143975,B,1,32939600,,Q
16175929,S,1,32939700,,Q
16242595,B,1,32939500,,Q
16285487,B,1,32920000,,Q
16291308,B,10,32938700,,Q
16311817,S,2,32930000,,Q
16316952,S,48,32930000,,Q
16361779,B,1,32930000,,Q
16361779,B,7,32921000,,Q
16377781,B,9,32921000,,Q
16601716,B,1,32921500,,Q
16656237,B,1,32925300,,Q
16818490,B,3,32941100,,Q
16899974,B,1,32939700,,Q
16913058,B,1,32940000,,Q
16930244,S,1,32941100,,Q
16938943,B,3,32953500,,Q
17026627,S,2,32955100,,Q
17026627,S,1,32956600,,Q
17166882,S,1,32956600,,Q
17237098,S,1,32956600,,Q
17305426,S,7,32956600,,Q
17305426,S,1,32956600,,Q
17305426,B,2,32957000,,Q
17349345,B,5,32950000,,Q
17485550,B,10,32950000,,Q
17529662,B,1,32949800,,Q
17647728,B,1,32949800,,Q
17690253,B,1,32949800,,Q
17970471,B,4,32921000,,Q
18263524,S,1,32944400,,Q
18357115,B,1,32921200,,Q
18450646,S,2,32944400,,Q
18450646,B,1,32949500,,Q
18450646,S,2,32951200,,Q
18450646,B,10,32952900,,Q
18450646,B,10,32971300,,Q
18450646,S,4,32988900,,Q
18450647,B,100,32990000,,Q
18450647,B,71,32990000,,Q
18763932,B,1,32940600,,Q
19368745,S,1,32966000,,Q
19376899,B,4,32946400,,Q
19396892,S,1,32967500,,Q
19466645,S,1,32968000,,Q
19466887,B,1,32967500,,Q
19582575,S,1,32968000,,Q
19732541,B,2,32988800,,Q
19732541,B,7,32989500,,Q
19809033,B,3,32989500,,Q
19934026,B,1,32953200,,Q
20208551,B,1,32953200,,Q
20208551,B,1,32953200,,Q
20208551,B,10,32950000,,Q
20420779,B,1,32940600,,Q
20420779,B,1,32940100,,Q
20420779,B,4,32940000,,Q
20420779,B,1,32940000,,Q
20422720,B,1,32930000,,Q
20585043,S,1,32935000,,Q
20936805,B,3,32930400,,Q
20936805,B,3,32930400,,Q
20936805,B,1,32930000,,Q
20936805,B,2,32930000,,Q
21159297,S,1,32930000,,Q
21223918,B,1,32921000,,Q
21223918,B,1,32921000,,Q
21294693,S,1,32930000,,Q
21437176,B,2,32921000,,Q
21450588,S,1,32930000,,Q
21540472,B,3,32929200,,Q
21548004,B,1,32922900,,Q
21646819,B,1,32922800,,Q
22268397,B,1,32920000,,Q
22268397,B,2,32920000,,Q
22268397,B,1,32920000,,Q
22287115,B,1,32910000,,Q
22622366,B,1,32910000,,Q
22641581,B,1,32900000,,Q
22641581,B,1,32900000,,Q
22641581,B,1,32900000,,Q
22641581,B,7,32900000,,Q
22832690,B,100,32900000,,Q
22845268,B,10,32900000,,Q
22867279,B,34,32900000,,Q
22870713,B,30,32900000,,Q
22870931,B,36,32900000,,Q
22870931,B,30,32900000,,Q
22870931,B,34,32900000,,Q
22872260,B,28,32900000,,Q
22885726,B,1,32880000,,Q
22935101,B,1,32880000,,Q
22935101,B,19,32872200,,Q
22953240,B,50,32872200,,Q
22980531,B,67,32866600,,Q
22981310,B,100,32866600,,Q
22981310,B,33,32866600,,Q
22984805,B,1,32860000,,Q
23061674,S,5,32859900,,Q
23145488,B,100,32865000,,Q
23177172,B,1,32865500,,Q
23180036,B,1,32865500,,Q
23182161,B,4,32865800,,Q
23188457,B,6,32865800,,Q
23198789,B,1,32866300,,Q
23213766,B,10,32866400,,Q
23229101,B,20,32866400,,Q
23233818,B,50,32866400,,Q
23242670,B,3,32866400,,Q
23321741,S,1,32880000,,Q
23321741,S,14,32880000,,Q
23362575,B,1,32867600,,Q
23423358,S,2,32879800,,Q
23423359,S,8,32879800,,Q
23854335,B,1,32871900,,Q
24114092,B,1,32872200,,Q
24201018,B,2,32883600,,Q
24201201,B,2,32883600,,Q
24201216,B,2,32883600,,Q
24201235,B,2,32883600,,Q
24416743,S,5,32884800,,Q
24431012,S,2,32889800,,Q
24534479,S,1,32889800,,Q
24617833,B,1,32880000,,Q
24617833,B,1,32880000,,Q
24617833,B,5,32878200,,Q
24655959,B,1,32878400,,Q
