Time,T,Shares,Price,MPID,X
14631464,S,15,2342000,,Q
14631464,S,1,2345000,,Q
14632068,B,14,2345800,,Q
14646608,B,25,2347300,,Q
14646608,S,15,2347700,,Q
14647680,B,3,2347700,,Q
14653700,B,25,2347900,,Q
14653700,B,36,2347800,,Q
14653700,B,164,2347800,,Q
14653700,B,36,2347700,,Q
14653700,B,139,2347700,,Q
14653701,B,82,2347700,,Q
14672515,B,25,2348900,,Q
14672516,B,95,2350000,,Q
14745939,B,6,2348100,,Q
14863102,S,2,2346000,,Q
14871549,B,1,2342200,,Q
14871626,B,3,2342200,,Q
14871798,B,5,2342200,,Q
14968214,S,4,2342500,,Q
15004810,S,9,2342500,,Q
15082138,S,1,2343000,,Q
15174086,B,15,2342700,,Q
15185761,B,1,2342700,,Q
15196048,B,7,2342700,,Q
15323651,S,1,2343000,,Q
15500638,B,1,2343100,,Q
15797349,B,20,2343500,,Q
15871075,B,5,2343000,,Q
15871075,S,3,2343000,,Q
16118103,B,25,2343100,,Q
16336153,B,20,2343000,,Q
16336153,B,22,2342300,,Q
16342164,B,12,2342500,,Q
16400811,B,1,2342500,,Q
16400811,B,34,2342000,,Q
16401332,S,1,2342500,,Q
16475748,S,2,2342500,,Q
16515666,B,50,2342000,,Q
16756872,S,1,2344000,,Q
16756872,S,1,2344000,,Q
16756872,S,2,2344000,,Q
18212568,S,99,2342200,,Q
18264909,B,16,2342000,,Q
18265379,B,1,2341900,,Q
18265379,B,2,2341900,,Q
18295287,B,2,2341500,,Q
18295502,S,1,2341000,,Q
18314813,S,96,2340500,,Q
18404316,B,25,2340900,,Q
18973900,S,7,2341000,,Q
19523294,B,6,2340400,,Q
19602159,S,8,2340500,,Q
20035286,B,21,2340400,,Q
20035286,B,3,2340400,,Q
20035286,B,20,2340400,,Q
20035286,B,1,2340100,,Q
20035286,B,3,2340100,,Q
20035300,B,17,2340100,,Q
20035300,B,2,2340000,,Q
20035314,B,25,2339900,,Q
20035314,B,25,2340000,,Q
20057549,B,75,2340000,,Q
20057549,S,362,2340100,,Q
20169905,B,563,2340100,,Q
20428638,S,5,2340100,,Q
20428638,S,24,2340100,,Q
20428638,S,1,2340100,,Q
20459547,B,25,2341800,,Q
20459547,S,5,2342000,,Q
21004142,S,3,2338900,,Q
21402695,S,2,2340500,,Q
21402695,S,99,2341000,,Q
21437954,S,4,2342000,,Q
21437954,S,2,2342300,,Q
21437954,S,2,2342500,,Q
21437954,B,57,2343300,,Q
21437954,S,14,2343400,,Q
21437954,B,51,2344100,,Q
21489905,B,40,2344100,,Q
21496883,B,9,2344100,,Q
21496883,B,91,2344200,,Q
21749585,B,3,2340200,,Q
22149970,S,50,2340000,,Q
22285694,B,3,2338000,,Q
22301764,B,1,2338000,,Q
22809710,B,80,2330900,,Q
22838502,S,9,2335000,,Q
22838502,B,1,2336000,,Q
22878411,B,5,2332900,,Q
22914231,B,1,2332900,,Q
23083321,B,100,2330900,,Q
23121586,B,268,2330900,,Q
23121586,B,5,2328800,,Q
23121587,S,27,2328000,,Q
23191509,B,15,2330700,,Q
23237784,S,1,2333000,,Q
23336980,S,4,2332200,,Q
23404283,S,23,2332200,,Q
23407745,S,8,2336000,,Q
23407745,S,14,2336500,,Q
23407745,B,108,2336700,,Q
23584913,S,100,2331800,,Q
23636029,B,1,2333400,,Q
23647688,S,5,2336100,,Q
23856932,S,4,2336100,,Q
24305121,S,15,2336100,,Q
25121232,S,1,2339900,,Q
25200258,S,3,2339900,,Q
25200258,S,2,2340000,,Q
25200258,S,3,2340000,,Q
25618266,B,22,2336600,,Q
25618267,S,3,2335000,,Q
26027654,B,15,2332500,,Q
26034858,B,20,2331800,,Q
26295716,S,1,2332200,,Q
26386698,B,9,2332100,,Q
26386698,B,1,2332100,,Q
26485333,S,9,2331500,,Q
26786170,S,2,2331500,,Q
26828296,B,2,2331000,,Q
27070467,B,1,2330200,,Q
27075588,B,1,2330000,,Q
27075588,B,1,2330000,,Q
27075588,B,1,2330000,,Q
27126174,B,99,2328000,,Q
27172726,B,25,2328300,,Q
27172726,B,75,2329900,,Q
27176169,S,1,2331500,,Q
27176169,S,5,2331500,,Q
27176169,S,3,2331500,,Q
27176169,S,13,2333000,,Q
27520866,B,100,2329900,,Q
27539341,S,2,2328700,,Q
27796500,B,1,2328000,,Q
27796500,B,1,2328000,,Q
27796503,B,1,2327900,,Q
27796503,B,5,2327900,,Q
27796510,B,2,2327100,,Q
27796510,B,3,2327100,,Q
27796512,B,5,2327000,,Q
27796515,B,5,2326200,,Q
27895826,B,40,2332100,,Q
27983988,B,25,2328900,,Q
27983988,B,25,2328600,,Q
27983989,B,15,2326300,,Q
27983991,B,1,2325500,,Q
28139893,B,30,2331900,,Q
28741500,B,3,2329500,,Q
28881695,S,95,2330100,,Q
28886252,S,3,2331000,,Q
28886252,B,50,2331900,,Q
28886252,B,50,2331900,,Q
28940316,B,50,2328600,,Q
