Time,T,Shares,Price,MPID,X
14516234,S,12,415100,,Q
14523162,S,100,413900,,Q
14570141,S,29,413900,,Q
14570141,S,100,413900,,Q
14583091,B,10,413500,,Q
14600722,B,16,412600,,Q
14600722,B,94,411600,,Q
14604570,S,16,413900,,Q
14661673,B,30,413400,,Q
14960460,B,6,412900,,Q
14999854,B,15,412900,,Q
15012114,B,30,413000,,Q
15012114,B,170,412900,,Q
15048941,B,23,412900,,Q
15060342,B,186,412900,,Q
15129065,S,100,412900,,Q
15188499,B,100,412600,,Q
15188500,B,1,412500,,Q
15188500,B,25,412500,,Q
15188500,B,223,412500,,Q
15188637,B,100,412600,,Q
15211308,B,1,412300,,Q
15229668,B,100,412600,,Q
15229668,B,100,412500,,Q
15229678,B,14,412400,,Q
15296972,B,386,412400,,Q
15481564,S,1,412200,,Q
15658140,B,12,411600,,Q
15658140,B,1,411600,,Q
15658140,B,1,411600,,Q
15658140,B,14,411400,,Q
15658140,B,72,411300,,Q
15658143,B,100,411300,,Q
15658170,B,100,411300,,Q
15709209,B,27,411400,,Q
15731323,B,90,411300,,Q
15731323,B,10,411300,,Q
15755472,B,25,411300,,Q
16197355,S,6,412400,,Q
16292565,S,14,412900,,Q
16710034,S,1,412900,,Q
16857869,S,1,412900,,Q
16857869,S,99,413100,,Q
16863142,S,86,413100,,Q
16863142,S,5,413400,,Q
16863142,S,9,413500,,Q
16875199,B,100,413300,,Q
17033390,B,10,413300,,Q
17134458,B,14,412500,,Q
17276575,B,14,412600,,Q
17276575,S,86,412500,,Q
17430268,S,32,413800,,Q
17480685,S,14,413800,,Q
17781748,S,5,413500,,Q
17814625,S,5,413500,,Q
18040353,B,2,413200,,Q
18044602,S,100,413300,,Q
18051866,S,1,413500,,Q
18200685,S,1,413400,,Q
18250593,S,5,413400,,Q
18506447,S,1,413400,,Q
18506447,S,100,413400,,Q
18506447,S,10,413400,,Q
18506447,S,100,413400,,Q
18506447,S,49,413500,,Q
18506447,S,3,413500,,Q
18506447,S,16,413800,,Q
18506449,S,3,414000,,Q
18506581,S,100,413400,,Q
18506582,S,100,413500,,Q
18506714,S,100,413400,,Q
18506849,S,100,413400,,Q
18506850,S,100,413900,,Q
18511064,S,100,414000,,Q
18540839,B,100,413600,,Q
18875445,B,2,413000,,Q
19119368,S,100,413000,,Q
20278884,B,100,413100,,Q
20310534,B,1,413500,,Q
20916482,B,5,413000,,Q
21034286,B,1,413000,,Q
21478498,B,200,413000,,Q
21899309,B,2,413000,,Q
22160622,B,97,413000,,Q
22160622,B,15,412800,,Q
22160622,S,1000,413000,,Q
22179820,B,1,413000,,Q
22285029,B,4,413000,,Q
22296728,B,6,413000,,Q
22490748,B,44,413000,,Q
22490748,B,68,413000,,Q
22490748,B,2,413000,,Q
22810452,S,5,413000,,Q
22953681,B,1,412400,,Q
22953681,B,2,412400,,Q
22965641,B,1,411800,,Q
23029275,S,11,411800,,Q
23071839,S,3,412600,,Q
23198127,S,1,412600,,Q
23263174,B,19,412100,,Q
23376341,B,1,412100,,Q
23405823,B,50,412100,,Q
24006230,S,260,412600,,Q
24006230,S,100,412600,,Q
24006230,S,6,412700,,Q
24075922,B,6,412700,,Q
24262736,B,1045,412700,,Q
24262737,B,15,412600,,Q
24364277,S,95,413000,,Q
24364277,S,48,413000,,Q
24976840,B,14,413200,,Q
25327635,S,2,413700,,Q
25588763,S,3,413700,,Q
25768660,S,6,413700,,Q
25791529,B,100,413700,,Q
25791529,B,60,413700,,Q
25804270,B,100,413700,,Q
25836735,B,1,413700,,Q
25837396,B,3,413700,,Q
25847504,S,1,413800,,Q
25847505,B,96,413700,,Q
25847505,B,4,413700,,Q
25872453,B,10,413700,,Q
25872453,B,60,413700,,Q
25872453,B,26,413700,,Q
25872453,B,74,413700,,Q
25872453,B,26,413700,,Q
25872453,B,74,413700,,Q
25872453,B,100,413700,,Q
25872453,B,100,413700,,Q
25872453,B,10,413700,,Q
25872454,B,86,413400,,Q
25903565,S,1,413700,,Q
26118086,S,98,413300,,Q
26124786,B,100,413300,,Q
26124786,B,98,413200,,Q
26124787,B,100,413300,,Q
26689795,B,100,413000,,Q
26689795,B,300,413000,,Q
26689795,B,171,413000,,Q
26689795,B,100,412900,,Q
26689795,B,100,412900,,Q
26766533,B,11,412800,,Q
26837777,B,89,412800,,Q
26837777,B,100,412700,,Q
26838283,S,384,412700,,Q
26906118,S,227,412700,,Q
26924060,S,100,412800,,Q
26924060,S,8,412900,,Q
26927831,S,29,412900,,Q
26958365,B,100,413000,,Q
26993103,S,100,413200,,Q
26993103,S,100,413200,,Q
27359608,B,1,413200,,Q
27563522,B,100,413000,,Q
27563522,B,100,413000,,Q
27606183,S,4,413000,,Q
27616804,S,5,413000,,Q
27979643,B,100,412800,,Q
27979643,S,100,412800,,Q
27989303,B,87,412800,,Q
28054911,B,13,412800,,Q
28054911,B,87,412700,,Q
28079780,B,16,412700,,Q
28109233,B,100,412700,,Q
28118195,S,100,412800,,Q
28118195,S,100,412800,,Q
28131644,B,100,412800,,Q
28131647,B,100,412700,,Q
28131647,B,100,412700,,Q
28131771,S,100,412700,,Q
28232477,S,1,412900,,Q
28281068,S,4,412900,,Q
28354765,S,10,413000,,Q
28354765,S,20,413000,,Q
28354765,S,26,413000,,Q
28357269,S,100,413300,,Q
28357269,S,100,413300,,Q
28357270,S,14,413400,,Q
28431207,S,100,413400,,Q
28437622,S,5,413400,,Q
28504221,B,15,413100,,Q
28560141,B,40,412900,,Q
28937304,B,100,412600,,Q
28944457,B,100,412500,,Q
28944459,B,20,412400,,Q
28944459,B,100,412400,,Q
28944560,B,100,412400,,Q
28944914,B,200,412300,,Q
28945752,B,100,412200,,Q
28945752,B,45,412200,,Q
29023424,S,12,412500,,Q
29045553,S,1,412500,,Q
29052291,S,30,412500,,Q
29077707,S,3,412400,,Q
29096429,S,147,412400,,Q
29234725,S,5,412800,,Q
29234725,S,42,412900,,Q
29301316,B,12,412500,,Q
29389731,S,58,412900,,Q
29389731,S,32,413000,,Q
29389731,S,500,413000,,Q
29389731,S,12,413000,,Q
29389857,B,100,412900,,Q
29389857,B,100,412900,,Q
29444987,B,1,412700,,Q
29530897,S,100,412700,,Q
29574291,S,5,412800,,Q
29574291,S,100,412900,,Q
29574293,S,100,413000,,Q
29574295,S,100,413100,,Q
