Time,T,Shares,Price,MPID,X
22267298,S,2300,103000,,Q
22267364,S,2300,103000,,Q
22267365,S,400,103000,,Q
24833314,S,70,103000,,Q
24833314,S,930,103000,,Q
25592022,B,100,102900,,Q
25808257,B,218,102900,,Q
26100656,B,844,102900,,Q
27465390,B,100,102800,,Q
27465390,B,1100,102800,,Q
27465419,B,200,102700,,Q
27976330,S,150,102700,,Q
28961819,B,30,102600,,Q
29774190,S,2,102500,,Q
30195815,S,800,102600,,Q
30195815,S,200,102600,,Q
30470215,B,100,102500,,Q
30504246,S,1000,102500,,Q
30893547,S,500,102500,,Q
30900937,B,295,102400,,Q
31525413,S,800,102600,,Q
31776044,S,800,102900,,Q
31834410,B,3900,102900,,Q
31834410,B,1900,102900,,Q
31834410,B,100,102900,,Q
32084733,B,100,102800,,Q
32676373,B,100,102700,,Q
33680084,S,600,102900,,Q
33754878,S,100,102900,,Q
33900002,S,11,102900,,Q
33900373,S,15,102900,,Q
33900383,S,12,102900,,Q
33900392,S,14,102900,,Q
33900406,S,12,102900,,Q
33900425,S,13,102900,,Q
33900435,S,12,102900,,Q
33900443,S,15,102900,,Q
33900459,S,14,102900,,Q
33900469,S,13,102900,,Q
33900472,S,14,102900,,Q
33900475,S,11,102900,,Q
33900477,S,11,102900,,Q
33900478,S,13,102900,,Q
33900480,S,14,102900,,Q
33900481,S,12,102900,,Q
33900484,S,10,102900,,Q
33900485,S,14,102900,,Q
33900487,S,15,102900,,Q
33900488,S,10,102900,,Q
33900490,S,12,102900,,Q
33900492,S,12,102900,,Q
33900496,S,13,102900,,Q
33900496,S,10,102900,,Q
33900499,S,11,102900,,Q
33900502,S,10,102900,,Q
33900503,S,14,102900,,Q
33900504,S,13,102900,,Q
33900505,S,11,102900,,Q
33900506,S,15,102900,,Q
33900507,S,14,102900,,Q
34088083,S,200,103000,,Q
34246093,B,100,102900,,Q
34246093,B,100,102900,,Q
34246093,B,100,102900,,Q
34246093,B,591,102900,,Q
34246096,B,409,102900,,Q
34246096,B,100,102900,,Q
34246096,B,100,102900,,Q
34259327,B,100,102800,,Q
34259327,B,400,102800,,Q
34259327,B,900,102800,,Q
34259327,B,900,102800,,Q
34259327,B,200,102800,,Q
34259327,B,500,102800,,Q
34261778,S,1900,102800,,Q
34261778,S,575,102800,,Q
34261778,S,300,102800,,Q
34263300,B,100,102850,,Q
34274114,S,575,102900,,Q
34274114,S,600,102900,,Q
34274114,S,475,102900,,Q
34315488,B,100,102950,,Q
34321595,B,100,102900,,Q
34321595,B,100,102900,,Q
34321595,B,100,102900,,Q
34321595,B,885,102900,,Q
34321595,B,1180,102900,,Q
34321595,B,826,102900,,Q
34321595,B,759,102900,,Q
34321596,S,2500,102900,,Q
34321596,S,200,102900,,Q
34368643,B,50,102700,,Q
34379538,B,100,102800,,Q
34379538,B,300,102700,,Q
34407167,B,400,102700,,Q
34407167,B,200,102700,,Q
34407167,B,900,102700,,Q
34407167,B,900,102700,,Q
34407168,B,500,102700,,Q
34427355,B,100,102650,,Q
34427356,B,100,102650,,Q
34448701,S,100,102700,,Q
34448701,S,200,102700,,Q
34448701,S,369,102700,,Q
34448702,S,1500,102700,,Q
34448702,S,300,102700,,Q
34448702,S,31,102700,,Q
34459635,B,259,102700,,Q
34487326,B,717,102600,,Q
34495635,S,900,102600,,Q
34495635,S,200,102600,,Q
34495635,S,1300,102600,,Q
34495635,S,2300,102700,,Q
34495635,S,900,102700,,Q
34501450,B,50,102600,,Q
34503134,B,306,102600,,Q
34503134,B,309,102600,,Q
34526295,B,300,102550,,Q
34546568,B,1600,102500,,Q
34546568,B,200,102500,,Q
34546568,B,100,102500,,Q
34546568,B,800,102500,,Q
