Time,T,Shares,Price,MPID,X
14592779,S,3,3628700,,Q
14595824,S,11,3628700,,Q
14595887,B,13,3631000,,Q
14596043,B,6,3631000,,Q
14596043,B,2,3631000,,Q
14665186,S,1,3628000,,Q
14809810,S,1,3628000,,Q
14853631,S,5,3628000,,Q
14916635,S,2,3628000,,Q
14988659,S,1,3628000,,Q
14998118,S,32,3628000,,Q
15320948,B,8,3628500,,Q
15417898,B,34,3629100,,Q
15417898,B,66,3628500,,Q
15731732,B,34,3634600,,Q
15731732,B,100,3635000,,Q
15762165,B,1,3630000,,Q
15857832,B,15,3630100,,Q
15857832,B,4,3630000,,Q
15872348,S,1,3630000,,Q
15872348,S,80,3630000,,Q
16097981,B,10,3630000,,Q
16197300,B,10,3630000,,Q
16197300,B,1,3630000,,Q
16197302,S,16,3630000,,Q
16326457,S,1,3632400,,Q
16326457,S,4,3632400,,Q
16428405,B,13,3634900,,Q
16614195,S,1,3634900,,Q
16659257,B,10,3630000,,Q
16701963,S,4,3630000,,Q
17281447,B,1,3630000,,Q
17341157,S,7,3630000,,Q
17425988,B,1,3630000,,Q
17688145,B,2,3630500,,Q
17811348,B,3,3632300,,Q
17811348,B,59,3632300,,Q
17992308,B,4,3632400,,Q
18166399,B,2,3632400,,Q
18234982,B,10,3632600,,Q
18234982,B,10,3633000,,Q
18235036,B,73,3633000,,Q
18235036,B,107,3633000,,Q
18277626,B,2,3633000,,Q
18280265,S,1,3633000,,Q
18334368,B,1,3630600,,Q
18434091,B,34,3631000,,Q
18434091,B,1,3630600,,Q
18971553,B,1,3632400,,Q
19040968,B,1,3632400,,Q
19531741,S,1,3632700,,Q
19554134,S,1,3632700,,Q
19581166,B,3,3632400,,Q
19588795,S,3,3632700,,Q
19588795,S,1,3633000,,Q
19588795,S,36,3633000,,Q
19592046,B,5,3632700,,Q
19592046,B,36,3632700,,Q
19692026,B,1,3632700,,Q
19816265,B,50,3632700,,Q
19816471,B,3,3632700,,Q
20091011,S,2,3633000,,Q
20248971,B,34,3632100,,Q
20248971,B,73,3633000,,Q
20248971,B,93,3633000,,Q
20401699,B,1,3630000,,Q
20401699,B,2,3630000,,Q
20554286,B,5,3629000,,Q
20570119,B,9,3627500,,Q
20570119,B,6,3627500,,Q
20570119,B,9,3627500,,Q
20578669,B,3,3628300,,Q
20645419,B,26,3627500,,Q
20645419,B,5,3627000,,Q
20645419,B,1,3627000,,Q
20645419,B,2,3627000,,Q
20649395,B,1,3627000,,Q
20659396,B,1,3626500,,Q
20659396,B,5,3626500,,Q
20693200,S,38,3628900,,Q
20693200,S,15,3629600,,Q
21243252,B,34,3630100,,Q
21243252,B,1,3629600,,Q
21243252,B,34,3626800,,Q
21243252,B,10,3626800,,Q
21243252,B,50,3626500,,Q
21243252,B,2,3626400,,Q
21243252,B,13,3626300,,Q
21243253,B,28,3625500,,Q
21473280,S,18,3625500,,Q
21563638,B,1,3625000,,Q
21563638,B,1,3625000,,Q
21858499,B,2,3625000,,Q
21858499,B,2,3625000,,Q
21858499,B,1,3625000,,Q
21858609,S,5,3625000,,Q
22053038,B,2,3628400,,Q
22186447,B,1,3627100,,Q
22302324,S,1,3624000,,Q
22633090,B,1,3624000,,Q
22910494,B,16,3624000,,Q
22910494,B,2,3624000,,Q
22915257,B,22,3623300,,Q
23003556,B,12,3621200,,Q
23003556,B,22,3620700,,Q
23003627,B,1,3620000,,Q
23003627,B,9,3620000,,Q
23105580,B,4,3619300,,Q
23302464,B,1,3615600,,Q
23302464,S,1,3615600,,Q
23515475,B,1,3619000,,Q
23515475,B,1,3616000,,Q
24283641,B,1,3616000,,Q
24663735,S,10,3616000,,Q
25125214,B,1,3617000,,Q
25153952,S,1,3617000,,Q
25413720,B,2,3626900,,Q
25437967,B,4,3626900,,Q
25765399,S,3,3626900,,Q
26131571,B,20,3622600,,Q
26131571,B,100,3621100,,Q
26228069,B,1,3621100,,Q
26464361,S,1,3622000,,Q
26695976,B,2,3622000,,Q
26695976,B,3,3621300,,Q
26880241,S,10,3621500,,Q
26937948,S,15,3621500,,Q
26985602,B,5,3621000,,Q
27231828,B,1,3621000,,Q
27423875,B,1,3621000,,Q
27555156,B,10,3621000,,Q
27555156,B,4,3620700,,Q
27555157,B,14,3620500,,Q
27582873,B,86,3620500,,Q
27582873,B,1,3620000,,Q
27582873,B,10,3620000,,Q
27582873,B,1,3620000,,Q
27582873,B,2,3620000,,Q
27659330,B,10,3618900,,Q
27659330,B,90,3618400,,Q
27731810,B,1,3619800,,Q
27752800,S,5,3619200,,Q
27764456,B,49,3618600,,Q
27770318,B,45,3618600,,Q
27775935,B,1,3619500,,Q
27777644,B,6,3618600,,Q
27777644,B,4,3618600,,Q
27777644,B,50,3618500,,Q
27777644,B,37,3618400,,Q
27778209,B,12,3619500,,Q
27779934,B,50,3618400,,Q
27779935,B,323,3618400,,Q
27779935,B,1,3618400,,Q
27827026,B,27,3618300,,Q
27930235,B,3,3618000,,Q
28176049,B,4,3616900,,Q
28191686,S,4,3618000,,Q
28191686,S,1,3618400,,Q
28193742,B,10,3619000,,Q
28193742,B,10,3619100,,Q
28193742,B,31,3619200,,Q
28261321,B,1,3618400,,Q
28282594,S,1,3618400,,Q
28287944,B,19,3616900,,Q
28306918,B,1,3618400,,Q
28524612,B,2,3617100,,Q
28524612,B,27,3616900,,Q
28524612,B,10,3616900,,Q
28524612,B,4,3616500,,Q
28524612,B,24,3616500,,Q
28524612,B,50,3616200,,Q
28524612,B,34,3616100,,Q
28524612,B,1,3615600,,Q
28524612,B,48,3615600,,Q
28588041,B,30,3616600,,Q
28588045,B,66,3616000,,Q
28634328,B,25,3616000,,Q
28669138,S,1,3616800,,Q
28705299,S,6,3619000,,Q
28705299,B,4,3619000,,Q
28923017,B,34,3615300,,Q
28923017,B,50,3615200,,Q
28923017,B,16,3615200,,Q
28937280,B,6,3615100,,Q
28937280,B,94,3615100,,Q
28937280,B,1,3615100,,Q
28985324,B,40,3615000,,Q
28985326,B,1,3615000,,Q
28985327,B,1,3614400,,Q
28985506,B,30,3613700,,Q
28985506,B,10,3613600,,Q
29028738,B,1,3613800,,Q
29449840,B,34,3616400,,Q
29449840,B,34,3616500,,Q
29449840,B,22,3616600,,Q
29515450,S,10,3616600,,Q
29515450,B,14,3616600,,Q
29515450,S,160,3616700,,Q
29515450,S,2,3616700,,Q
29515450,S,4,3616700,,Q
29515450,B,10,3617500,,Q
29515450,B,10,3617800,,Q
29515450,B,5,3618200,,Q
29515451,B,15,3618200,,Q
29515451,B,14,3618200,,Q
29515451,B,1,3618900,,Q
29515451,B,15,3618900,,Q
29515451,B,10,3619000,,Q
29515451,S,5,3619500,,Q
29710619,S,7,3618500,,Q
29963654,B,100,3617600,,Q
29963656,B,1,3617000,,Q
29963656,B,1,3617000,,Q
29963657,B,10,3617000,,Q
29979443,B,10,3616700,,Q
29979448,B,1,3616500,,Q
29979454,B,48,3616200,,Q
30039007,B,30,3616400,,Q
30082914,B,2,3616700,,Q
30125196,B,3,3616700,,Q
30217605,B,4,3617000,,Q
30220587,B,3,3618200,,Q
30252064,B,20,3617700,,Q
