Time,T,Shares,Price,MPID,X
14596729,S,1,4100000,,Q
15765601,B,1,4094200,,Q
16370018,B,14,4094200,,Q
18827180,S,3,4099900,,Q
20936048,S,1,4099800,,Q
20936052,S,4,4099800,,Q
20936052,S,26,4099900,,Q
22706272,B,2,4086100,,Q
22707752,B,2,4086100,,Q
22708931,B,2,4086100,,Q
22710111,B,2,4086100,,Q
22712839,B,2,4086400,,Q
23101599,B,2,4082000,,Q
23425475,B,4,4080000,,Q
23425475,B,2,4075800,,Q
23425502,B,2,4062000,,Q
23469671,B,38,4069800,,Q
23469671,B,17,4069200,,Q
23469737,B,2,4063200,,Q
23469737,B,2,4062000,,Q
23926368,S,4,4062000,,Q
24147742,S,2,4068400,,Q
24147742,S,3,4079900,,Q
24147742,S,3,4080000,,Q
24147742,B,2,4080000,,Q
24224775,B,74,4059500,,Q
24295658,B,22,4068200,,Q
24295658,S,2,4069600,,Q
24295658,S,4,4094900,,Q
24295658,S,2,4095000,,Q
24295658,B,200,4098600,,Q
24295658,S,2,4099000,,Q
24295658,S,50,4099000,,Q
24295658,B,20,4099000,,Q
24295658,S,2,4099900,,Q
24295658,S,23,4100000,,Q
24295658,B,25,4103300,,Q
24295658,B,100,4104900,,Q
24295658,B,36,4105000,,Q
24295658,B,212,4105000,,Q
24295962,S,4,4071900,,Q
24295962,B,3,4073800,,Q
24336496,B,2,4071300,,Q
24337623,B,2,4071300,,Q
24338690,B,2,4071200,,Q
24424120,B,1,4071900,,Q
24537348,S,6,4073900,,Q
24906972,S,14,4074000,,Q
24906972,S,21,4074000,,Q
24971956,B,2,4083200,,Q
25215005,S,3,4089200,,Q
25215005,S,3,4089300,,Q
25359525,B,2,4083500,,Q
25524857,B,2,4085900,,Q
27926915,B,2,4090000,,Q
28330708,B,1,4075800,,Q
31026129,B,150,4088600,,Q
31196490,S,4,4084800,,Q
31492833,B,3,4075000,,Q
32302444,B,2,4083400,,Q
32443665,B,5,4075500,,Q
32578328,B,3,4075500,,Q
32578328,B,25,4080100,,Q
32621721,B,5,4075100,,Q
32621721,B,7,4075000,,Q
32621721,B,50,4075000,,Q
33412124,B,23,4081500,,Q
33551901,B,1,4080900,,Q
33921985,B,1,4082000,,Q
34040085,B,25,4082700,,Q
34040085,B,25,4082700,,Q
34128544,B,25,4084100,,Q
34128544,B,25,4083900,,Q
34128544,B,50,4083500,,Q
34133087,B,11,4083500,,Q
34175958,B,5,4083500,,Q
34200634,B,1,4083500,,Q
34200844,B,25,4086500,,Q
34200844,B,25,4086700,,Q
34201299,B,15,4088700,,Q
34201299,B,10,4088700,,Q
34201299,B,69,4088800,,Q
34201299,B,15,4088900,,Q
34201449,B,1,4087300,,Q
34201834,B,6,4087600,,Q
34203031,B,14,4087300,,Q
34203031,B,12,4087300,,Q
34203031,B,1,4087300,,Q
34203031,B,45,4086800,,Q
34203031,B,99,4086800,,Q
34203031,B,1,4086800,,Q
34203031,B,25,4086400,,Q
34203031,B,4,4086400,,Q
34203031,B,12,4086400,,Q
34203061,B,13,4087200,,Q
34203140,B,11,4086900,,Q
34203140,B,89,4086900,,Q
34203892,B,25,4085100,,Q
34203892,B,23,4085000,,Q
34203892,B,2,4085000,,Q
34203892,B,23,4085000,,Q
34203892,B,23,4085000,,Q
34203892,B,48,4085000,,Q
34204712,B,18,4083700,,Q
34204712,B,33,4083500,,Q
34204778,B,50,4083450,,Q
34209490,B,11,4081800,,Q
34209490,B,21,4081800,,Q
34209491,B,12,4081200,,Q
34209491,B,16,4081200,,Q
34209497,B,10,4078700,,Q
34209498,B,190,4078700,,Q
34209498,B,50,4078700,,Q
34209498,B,4,4078700,,Q
34209498,B,15,4078700,,Q
34209498,B,31,4078700,,Q
34209499,B,8,4078700,,Q
34209500,B,10,4078700,,Q
34209500,B,1,4078700,,Q
34209501,B,92,4078700,,Q
34209540,B,100,4077500,,Q
34210907,B,1,4078700,,Q
34211152,B,100,4076600,,Q
34213033,B,18,4076600,,Q
34214511,B,72,4076500,,Q
34214511,B,97,4076500,,Q
34214511,B,331,4076500,,Q
34214511,B,10,4076500,,Q
34214511,B,10,4075600,,Q
34214530,B,15,4072300,,Q
34214556,B,14,4072500,,Q
34217541,B,15,4072800,,Q
34217541,B,100,4073000,,Q
34217541,B,25,4073100,,Q
34217541,B,5,4073400,,Q
34225535,B,1,4074600,,Q
34237768,B,1,4072500,,Q
34237768,B,5,4072800,,Q
34240111,B,27,4071000,,Q
34240111,B,24,4071000,,Q
34240111,B,13,4070400,,Q
34240111,B,14,4070400,,Q
34240111,B,1,4070000,,Q
34240111,B,1,4070000,,Q
34240111,B,11,4070400,,Q
34240235,B,1,4067000,,Q
34246348,B,10,4065100,,Q
34247500,B,24,4061300,,Q
34247500,B,12,4061300,,Q
34251051,B,15,4055200,,Q
34251052,B,2,4055800,,Q
34251052,B,2,4055800,,Q
34251052,B,2,4055800,,Q
34251052,B,90,4055800,,Q
34251052,B,4,4055800,,Q
34251644,B,100,4056500,,Q
34253112,B,100,4055900,,Q
34253113,B,2,4055200,,Q
34258527,B,27,4053700,,Q
34258698,B,500,4053600,,Q
34258698,B,11,4055500,,Q
34258698,B,100,4053900,,Q
34258698,B,11,4055700,,Q
34259275,S,59,4053500,,Q
34259275,S,24,4053500,,Q
34259275,S,17,4053500,,Q
34259275,B,17,4053400,,Q
34259275,B,1,4053300,,Q
34259275,B,58,4053400,,Q
34259275,B,25,4053400,,Q
34259276,B,1,4053000,,Q
34261163,B,3,4052500,,Q
34261164,B,2,4052000,,Q
34261164,B,3,4052000,,Q
34265461,B,58,4056300,,Q
34265461,B,15,4056600,,Q
34265461,B,27,4056700,,Q
34265461,B,34,4056700,,Q
34265461,B,42,4056700,,Q
34265461,B,8,4056700,,Q
34265461,B,58,4056700,,Q
34265461,B,100,4056700,,Q
34265461,B,16,4056700,,Q
34265461,B,24,4056700,,Q
34265461,B,16,4056700,,Q
34265461,B,16,4056700,,Q
34265461,B,16,4056700,,Q
34265462,S,16,4057000,,Q
34265462,S,4,4057100,,Q
34265462,S,14,4057100,,Q
34265466,S,8,4057200,,Q
34267350,B,25,4055500,,Q
34267350,B,58,4055500,,Q
34267350,B,17,4055500,,Q
34274590,S,5,4058300,,Q
34274590,B,5,4058300,,Q
34274590,B,5,4058300,,Q
34274590,B,58,4058300,,Q
34274590,B,32,4058300,,Q
34274590,S,2,4060000,,Q
34274590,B,2,4060000,,Q
34274590,B,2,4060000,,Q
34274590,B,5,4060000,,Q
34274590,B,2,4060000,,Q
34274590,B,89,4060000,,Q
34274590,B,55,4060800,,Q
34274591,B,45,4060800,,Q
34274591,S,10,4060900,,Q
34274591,S,45,4060900,,Q
34274591,B,100,4060800,,Q
34321446,B,2,4062800,,Q
34321446,B,2,4062800,,Q
34321446,B,2,4062800,,Q
34321446,B,58,4062800,,Q
34321446,B,5,4062800,,Q
34321446,B,2,4062700,,Q
34321447,S,14,4065400,,Q
34321477,B,20,4062700,,Q
34321477,B,15,4061500,,Q
34322515,B,1,4064200,,Q
34332541,B,20,4061700,,Q
34332541,B,7,4060300,,Q
34332541,B,8,4060300,,Q
34332541,B,92,4060100,,Q
34333466,B,1,4064200,,Q
34333591,B,9,4060000,,Q
34333591,B,6,4060000,,Q
34333591,B,59,4059900,,Q
34333591,B,41,4059900,,Q
34333591,B,17,4060000,,Q
34333591,B,8,4060000,,Q
34333591,B,4,4060000,,Q
34333591,B,17,4060000,,Q
34333591,B,5,4060000,,Q
34342382,B,13,4058500,,Q
34342382,B,15,4058700,,Q
34342382,B,43,4058800,,Q
34342382,B,98,4058800,,Q
