Time,T,Shares,Price,MPID,X
20805284,B,10,1425500,,Q
23477307,B,1,1424400,,Q
25097716,B,1,1423400,,Q
31623584,B,3,1427100,,Q
31793067,B,80,1427100,,Q
31967721,B,1,1427200,,Q
32719366,S,1,1425700,,Q
32719366,S,4,1425700,,Q
33095752,B,1,1425000,,Q
33095752,S,49,1425000,,Q
33917348,B,5,1427900,,Q
33929321,B,2,1427900,,Q
34024262,S,1,1430000,,Q
34122140,S,2,1430000,,Q
34150602,S,7,1430000,,Q
34201071,S,4,1432000,,Q
34201071,S,40,1432000,,Q
34201261,S,100,1431700,,Q
34203561,S,10,1431800,,Q
34206656,B,25,1430900,,Q
34206656,B,25,1430900,,Q
34207245,B,400,1431000,,Q
34214617,B,1,1431400,,Q
34215730,S,100,1431400,,Q
34215730,B,10,1431200,,Q
34215730,B,50,1431000,,Q
34215730,B,50,1431000,,Q
34215730,S,5,1431200,,Q
34215730,S,15,1431200,,Q
34215730,S,100,1431200,,Q
34215730,S,5,1431200,,Q
34215731,B,5,1431000,,Q
34215731,B,15,1431000,,Q
34215731,B,10,1431000,,Q
34215731,B,5,1431000,,Q
34215731,B,5,1431000,,Q
34215731,B,5,1431000,,Q
34215731,B,4,1431000,,Q
34215731,B,20,1431000,,Q
34215731,B,6,1431000,,Q
34215731,B,4,1431000,,Q
34215731,B,6,1431000,,Q
34215866,B,10,1430200,,Q
34215866,B,100,1430100,,Q
34215866,B,90,1430100,,Q
34215866,B,10,1430100,,Q
34215867,B,1,1429800,,Q
34215881,B,10,1430100,,Q
34215881,B,100,1430200,,Q
34215881,S,100,1430300,,Q
34215881,S,54,1430300,,Q
34219964,S,4,1430300,,Q
34219965,S,100,1430600,,Q
34220221,S,100,1431000,,Q
34225296,S,1,1431100,,Q
34228578,S,1,1431300,,Q
34228987,S,1,1431300,,Q
34229685,S,1,1431300,,Q
34230119,S,3,1431300,,Q
34230518,B,1,1431500,,Q
34230952,S,100,1431200,,Q
34231198,S,6,1431600,,Q
34231199,S,10,1431700,,Q
34231199,S,100,1431600,,Q
