Time,T,Shares,Price,MPID,X
14587143,S,1,571300,,Q
14587573,S,1,571300,,Q
14588065,S,1,571400,,Q
14588803,S,1,571300,,Q
14589536,B,5,571500,,Q
14589536,S,123,571300,,Q
14590348,S,1,571300,,Q
14594129,S,2,571100,,Q
14594129,S,2,571300,,Q
14594129,S,1,571300,,Q
14594525,B,10,571500,,Q
14595963,S,14,571300,,Q
14595963,S,1,571300,,Q
14596562,B,1,571300,,Q
14629442,B,1,571300,,Q
14663165,B,1,571400,,Q
14855345,B,1,571400,,Q
14861294,B,3,571400,,Q
14897479,B,2,571300,,Q
15021051,B,10,571300,,Q
15226573,B,2,571300,,Q
15356501,B,3,571400,,Q
15424304,B,2,571400,,Q
15564412,B,10,571300,,Q
15711569,S,46,571400,,Q
15882273,S,1,572100,,Q
16055965,S,5,571900,,Q
16055965,S,1,572100,,Q
16062767,B,1,572100,,Q
16139937,B,1,572100,,Q
16992882,S,1,571800,,Q
16995551,B,3,572100,,Q
17298956,B,7,571500,,Q
18553331,S,2,572000,,Q
18571169,S,2,572000,,Q
18571169,S,46,572000,,Q
18571169,S,50,572000,,Q
18571169,S,15,572000,,Q
18850281,S,1,572200,,Q
18886467,S,1,572200,,Q
19408936,S,1,572200,,Q
19409021,S,197,572200,,Q
19409021,S,30,572200,,Q
19409021,B,30,572200,,Q
19468470,S,3,572200,,Q
19490197,S,93,572200,,Q
19503178,S,1,572200,,Q
19503326,S,35,572200,,Q
19506088,S,1,572200,,Q
19512732,S,1,572200,,Q
19515450,S,1,572200,,Q
19517667,S,1,572200,,Q
19559145,S,2,572200,,Q
19588799,S,14,572200,,Q
19668301,S,2,572200,,Q
19818160,B,4,571700,,Q
20258277,B,21,571700,,Q
20313826,B,20,571700,,Q
20721991,S,7,572200,,Q
20799083,S,1,572200,,Q
20875393,S,1,572200,,Q
20876678,S,1,572200,,Q
20945697,S,12,572200,,Q
21074664,B,5,571700,,Q
21075507,S,1,572200,,Q
21231533,S,1,572200,,Q
21487645,S,1,572200,,Q
21519882,S,1,572200,,Q
21952990,S,12,572200,,Q
22024385,S,1,572200,,Q
22024505,S,7,572200,,Q
22024505,S,70,572200,,Q
22088384,B,7,572000,,Q
22088384,B,493,571700,,Q
22137383,B,14,571700,,Q
22180104,B,1,571700,,Q
22662195,B,349,571700,,Q
22662195,B,93,571700,,Q
22662195,B,3,571700,,Q
22662195,B,1,571700,,Q
22662195,B,1,571700,,Q
22662195,B,2,571700,,Q
22662195,B,6,571700,,Q
22671284,B,1000,571600,,Q
22671284,B,3,571500,,Q
22671284,B,1,571500,,Q
22671284,B,7,571500,,Q
22671284,B,83,571300,,Q
22671284,B,1,571300,,Q
22671284,B,5,571300,,Q
22671284,B,1,571200,,Q
22671284,B,52,571100,,Q
22671285,B,5,571000,,Q
22671285,B,20,571000,,Q
22720372,B,79,571500,,Q
22988497,S,23,570600,,Q
23224650,B,1,570700,,Q
23225259,S,1,571000,,Q
23225260,B,48,571000,,Q
23333111,B,50,571100,,Q
23333111,B,349,571500,,Q
23333111,S,63,571600,,Q
23333111,S,16,571600,,Q
23333111,S,16,571600,,Q
23333111,S,16,571600,,Q
23333111,S,50,571600,,Q
23333111,B,65,571600,,Q
23333119,B,375,571600,,Q
23350767,B,50,571500,,Q
23350767,S,21,571600,,Q
23350767,S,51,571600,,Q
23351169,B,300,571600,,Q
23352718,B,600,571600,,Q
23352718,B,178,571600,,Q
23504251,B,1,571500,,Q
23970635,B,1,571500,,Q
24025335,S,1,571500,,Q
24268783,S,3,570800,,Q
24712179,B,1,570800,,Q
25200025,S,36,571600,,Q
25200070,S,10,571600,,Q
25231785,S,20,571600,,Q
25393192,B,5,571500,,Q
25684793,S,37,571500,,Q
25701074,B,12,571200,,Q
25752395,B,3,571200,,Q
25945706,B,10,571200,,Q
26100118,B,40,571300,,Q
26124891,S,100,571400,,Q
26124894,S,27,571500,,Q
26185674,S,2,571500,,Q
26232306,S,19,571500,,Q
26628152,S,7,571400,,Q
26628152,B,50,571500,,Q
26628152,B,2,571500,,Q
26628152,S,34,571600,,Q
26628152,S,229,571600,,Q
26628152,S,100,571600,,Q
26628152,S,50,571600,,Q
26628152,S,50,571600,,Q
26628152,S,30,571600,,Q
26628152,S,70,571600,,Q
26628152,S,30,571600,,Q
26709687,B,1,571500,,Q
26729757,B,1,571400,,Q
26764776,B,99,571400,,Q
26764776,B,1,571400,,Q
26816643,B,10,571300,,Q
26869653,B,1,571300,,Q
27079085,S,14,571600,,Q
27163042,S,6,571600,,Q
27255086,S,3,571600,,Q
27331681,S,1,571600,,Q
27828402,S,1,571600,,Q
27841223,S,1,571600,,Q
27887086,S,1,571600,,Q
27965257,B,1,571300,,Q
27965257,B,1,571300,,Q
27965257,B,3,571300,,Q
27965261,S,17,571300,,Q
28088749,B,3,571300,,Q
28413005,S,1,571400,,Q
28414698,S,24,571500,,Q
28472085,B,100,571400,,Q
28472085,B,100,571400,,Q
28472086,B,1,571300,,Q
