Time,T,Shares,Price,MPID,X
15212904,S,4,2388100,,Q
15624902,S,2,2387000,,Q
18551368,S,37,2388200,,Q
24209763,S,1,2388100,,Q
24211432,S,8,2388100,,Q
24211432,S,7,2388200,,Q
27415096,S,8,2380000,,Q
29225253,S,1,2385800,,Q
29549723,S,5,2380000,,Q
30395765,B,1,2382000,,Q
30529756,S,6,2380000,,Q
30684941,S,3,2380000,,Q
30685022,S,40,2380000,,Q
30685022,S,37,2380000,,Q
30970678,S,49,2380000,,Q
30970989,S,48,2380000,,Q
32280650,B,22,2384400,,Q
32280780,B,8,2384400,,Q
32280782,S,1,2384900,,Q
32280786,S,16,2385000,,Q
32483851,B,4,2382500,,Q
32585000,B,4,2380400,,Q
32913122,B,9,2380400,,Q
32988444,B,1,2382600,,Q
33026984,B,2,2382600,,Q
33650138,B,1,2380400,,Q
34008281,S,1,2385000,,Q
34047795,S,25,2382000,,Q
34080077,S,33,2385000,,Q
34080077,S,2,2385000,,Q
34163404,B,3,2385600,,Q
34190073,S,2,2387500,,Q
34190074,S,3,2388200,,Q
34190074,B,97,2389900,,Q
34190075,S,8,2390000,,Q
34200698,B,1,2387600,,Q
34201639,B,3,2389500,,Q
34203189,B,7,2389500,,Q
34203189,B,100,2389900,,Q
34203189,S,2,2390000,,Q
34203189,S,150,2390000,,Q
34203189,S,50,2390000,,Q
34203189,S,43,2390000,,Q
34203189,S,50,2390000,,Q
34203189,S,7,2390000,,Q
34203189,S,43,2390000,,Q
34203189,S,7,2390000,,Q
34203190,B,10,2389900,,Q
34206105,B,6,2389800,,Q
34206105,S,44,2389900,,Q
34206108,S,20,2390000,,Q
34211297,S,50,2391300,,Q
34211297,S,50,2391300,,Q
34213827,B,3,2390300,,Q
34213827,B,3,2390300,,Q
34213827,B,4,2390300,,Q
34213827,B,1,2390200,,Q
34213827,B,2,2390200,,Q
34215906,B,10,2389700,,Q
34215906,B,100,2389700,,Q
34215906,B,90,2389700,,Q
34216878,B,10,2389700,,Q
34216878,B,100,2389700,,Q
34216878,B,90,2389600,,Q
34219244,B,10,2390100,,Q
34219244,S,10,2390200,,Q
34221773,B,10,2390800,,Q
34221773,B,100,2390800,,Q
34221773,B,90,2390700,,Q
34224439,B,6,2391300,,Q
34226627,S,6,2391400,,Q
34226627,B,100,2391400,,Q
34229219,B,1,2390900,,Q
34230046,B,100,2390800,,Q
34230047,B,6,2390100,,Q
34246157,B,11,2388800,,Q
34246157,B,3,2388600,,Q
34246158,B,25,2388600,,Q
34246158,B,25,2388600,,Q
34246158,B,47,2388600,,Q
34246225,B,1,2387500,,Q
34255437,B,8,2388000,,Q
34255437,B,2,2388000,,Q
34255437,B,8,2388100,,Q
34255437,B,8,2388100,,Q
34255437,B,8,2388100,,Q
34255437,B,22,2388100,,Q
34255437,S,8,2388300,,Q
34255437,S,28,2388500,,Q
34255437,S,4,2388500,,Q
34255437,S,18,2388500,,Q
34255437,S,4,2388600,,Q
34255438,S,6,2388400,,Q
34261901,B,10,2389100,,Q
34261901,B,47,2389100,,Q
34261901,B,50,2389100,,Q
34261901,B,3,2389100,,Q
34261901,S,47,2389200,,Q
34261901,S,3,2389200,,Q
34261901,S,7,2389400,,Q
34261901,S,8,2389200,,Q
34262433,B,4,2391000,,Q
34262433,B,24,2391000,,Q
34270440,B,8,2391000,,Q
34270440,B,8,2391000,,Q
34270440,B,8,2391000,,Q
34270440,B,7,2391000,,Q
34270440,B,8,2391000,,Q
34270440,B,3,2391000,,Q
34270440,S,8,2391100,,Q
34270932,S,25,2391800,,Q
34271443,S,6,2391900,,Q
34274200,S,100,2391900,,Q
34274230,S,15,2391900,,Q
34274230,S,85,2391900,,Q
34274230,S,100,2391900,,Q
34274260,S,100,2391900,,Q
34274260,S,47,2391900,,Q
34274260,S,53,2391900,,Q
34274260,S,5,2392000,,Q
34274260,S,6,2392000,,Q
34274561,S,7,2392800,,Q
34281757,B,25,2391700,,Q
34281757,B,25,2391700,,Q
34281757,B,25,2391700,,Q
