Time,T,Shares,Price,MPID,X
15368365,B,63,1036800,,Q
23699069,B,3,1033300,,Q
23703715,B,3,1033300,,Q
23708476,B,3,1033400,,Q
23713221,B,3,1033100,,Q
23719280,B,3,1033400,,Q
23723582,B,3,1033400,,Q
23728235,B,3,1033200,,Q
24377012,B,3,1033900,,Q
25988374,B,1,1032200,,Q
25988374,B,30,1030500,,Q
29117924,B,1,1031000,,Q
31058635,S,6,1032300,,Q
31160327,B,2,1032300,,Q
31321215,B,1,1032300,,Q
31430003,B,5,1032300,,Q
31830849,B,11,1032200,,Q
32882706,B,100,1032000,,Q
33510806,B,25,1032000,,Q
33510806,B,21,1031800,,Q
33510806,B,200,1031700,,Q
33524952,S,20,1031700,,Q
34079780,B,2,1032500,,Q
34113450,B,2,1032000,,Q
34171092,B,100,1031600,,Q
34171092,B,100,1031500,,Q
34171092,B,100,1031500,,Q
34171093,B,35,1031000,,Q
34202141,S,11,1033000,,Q
34202141,S,69,1033000,,Q
34202141,S,40,1033000,,Q
34202141,S,40,1033000,,Q
34202141,S,40,1033000,,Q
34202141,S,31,1033000,,Q
34202141,S,100,1033000,,Q
34202143,S,32,1033000,,Q
34202304,S,33,1033000,,Q
34202304,S,25,1033100,,Q
34203061,S,25,1032800,,Q
34203061,S,100,1032800,,Q
34203061,S,11,1032800,,Q
34203062,B,5,1032700,,Q
34203417,B,36,1031600,,Q
34209442,B,100,1032300,,Q
34209442,S,50,1032500,,Q
34209442,B,3,1032500,,Q
34209443,S,89,1032600,,Q
34209443,S,100,1033100,,Q
34209443,S,3,1033200,,Q
34209444,S,5,1033500,,Q
34209444,B,20,1033300,,Q
34209444,B,11,1033200,,Q
34209444,B,9,1033200,,Q
34209446,B,600,1033200,,Q
34209446,B,38,1033200,,Q
34211343,S,1,1032700,,Q
34211344,B,2,1032000,,Q
34211351,S,1,1032700,,Q
34240164,B,40,1031800,,Q
34240164,B,60,1031800,,Q
34244918,B,27,1031500,,Q
34244918,B,30,1031300,,Q
34244921,B,10,1032100,,Q
34244921,B,16,1032000,,Q
34244921,S,6,1032200,,Q
34244921,S,22,1032200,,Q
34244921,B,1,1032000,,Q
34244921,B,5,1032000,,Q
34244921,B,22,1032000,,Q
34244923,B,25,1030900,,Q
34244931,B,48,1030600,,Q
34244931,B,50,1030600,,Q
34245298,B,4,1030900,,Q
34245444,B,50,1030500,,Q
34245465,B,3,1030500,,Q
34245465,B,100,1030200,,Q
34245469,B,500,1030100,,Q
34245469,B,400,1030100,,Q
34245469,S,100,1030200,,Q
34245469,S,100,1030300,,Q
34245469,B,50,1030300,,Q
34245470,S,100,1030300,,Q
34245470,B,100,1030300,,Q
34245470,B,100,1030300,,Q
34245470,B,50,1030300,,Q
34245472,S,100,1030400,,Q
34245558,B,1,1030300,,Q
34245609,B,2,1030200,,Q
34245661,B,6,1030100,,Q
34245661,B,394,1030100,,Q
34245955,B,1,1030200,,Q
34245955,B,39,1030100,,Q
34245983,B,400,1030100,,Q
34245983,B,200,1030100,,Q
34245983,B,200,1030100,,Q
34245983,B,100,1030100,,Q
34245984,B,1,1030000,,Q
34245984,B,5,1030000,,Q
34245984,B,600,1030000,,Q
34245991,B,100,1029700,,Q
34245991,B,297,1029700,,Q
34245991,B,203,1029700,,Q
34245991,B,600,1029700,,Q
34246349,B,24,1029400,,Q
34246349,B,2,1029400,,Q
34247069,B,13,1029000,,Q
34247069,B,23,1029000,,Q
34247070,S,14,1029300,,Q
34247070,S,22,1029300,,Q
34247070,S,100,1029300,,Q
34247070,B,14,1029000,,Q
34247070,B,22,1029000,,Q
34247070,B,2,1029000,,Q
34247254,B,22,1029000,,Q
34247254,B,7,1029000,,Q
34247254,B,27,1029000,,Q
34247254,B,2,1029000,,Q
34247254,B,50,1029000,,Q
34247556,S,100,1028300,,Q
34247556,S,1,1028300,,Q
34248240,S,32,1028600,,Q
34248240,S,37,1028600,,Q
34251642,S,20,1028200,,Q
34251642,B,5,1028300,,Q
34251642,S,2,1028600,,Q
34251642,B,3,1028600,,Q
34251642,B,100,1028200,,Q
34251642,B,100,1028200,,Q
34251642,B,1,1028200,,Q
34251642,S,580,1028200,,Q
34251642,S,53,1028200,,Q
34251642,S,100,1028200,,Q
34251642,S,6,1028400,,Q
34251642,S,159,1028600,,Q
34251642,S,1,1028200,,Q
34251642,S,10,1028200,,Q
34251642,S,207,1028200,,Q
34251642,B,48,1028300,,Q
34251642,S,11,1028200,,Q
34251642,B,318,1028600,,Q
34251642,S,10,1028300,,Q
34251642,B,126,1028300,,Q
34251642,B,25,1028400,,Q
34251642,B,33,1028300,,Q
34251642,B,82,1028300,,Q
34251643,B,100,1028400,,Q
34251643,B,18,1028300,,Q
34251643,B,100,1028200,,Q
34251643,B,12,1028200,,Q
34251643,S,25,1028200,,Q
34251643,S,25,1028600,,Q
34251644,B,1,1028200,,Q
34255381,B,32,1028200,,Q
34255381,B,50,1028100,,Q
34255381,B,100,1028100,,Q
34255381,B,24,1028200,,Q
34255381,S,25,1028300,,Q
34257231,S,20,1028300,,Q
34257231,S,32,1028400,,Q
34257656,B,2,1028200,,Q
34257941,B,1,1028000,,Q
34257941,B,2,1028000,,Q
34257944,S,25,1028400,,Q
34257945,S,20,1028400,,Q
34257945,B,2,1028400,,Q
34257945,B,23,1028400,,Q
34258062,B,20,1028300,,Q
34258592,B,48,1028200,,Q
34258725,S,8,1028400,,Q
34259222,B,32,1027800,,Q
34261445,S,32,1028100,,Q
34261445,S,35,1028100,,Q
34261445,S,100,1028100,,Q
34261445,S,20,1028100,,Q
34261730,B,100,1027800,,Q
34261730,B,32,1027800,,Q
34266980,S,20,1028300,,Q
34266980,S,37,1028300,,Q
34268460,B,100,1028000,,Q
34268460,B,100,1028000,,Q
34268504,S,2,1028300,,Q
34269264,S,30,1028300,,Q
34269264,S,20,1028600,,Q
34269264,S,51,1028600,,Q
34269265,S,20,1028600,,Q
34269273,B,9,1028500,,Q
34269656,B,32,1028100,,Q
34270142,S,9,1028300,,Q
34271676,B,20,1028300,,Q
34271676,S,12,1028500,,Q
34272011,S,20,1028500,,Q
34272011,S,32,1028700,,Q
34272540,B,64,1028600,,Q
34274591,S,32,1028700,,Q
34274591,S,100,1028900,,Q
34274591,S,40,1028900,,Q
34274591,B,54,1028900,,Q
34274591,B,46,1028900,,Q
34274592,S,100,1029000,,Q
34278631,B,100,1029800,,Q
34278632,S,32,1029900,,Q
34278632,S,77,1029900,,Q
34278632,S,20,1029900,,Q
34279011,S,25,1029900,,Q
34279011,S,32,1030000,,Q
34279011,S,43,1030000,,Q
34279011,S,57,1030000,,Q
34279011,B,9,1029900,,Q
34279011,S,100,1030000,,Q
34279011,S,9,1030000,,Q
34279105,B,100,1029800,,Q
34281697,B,25,1029500,,Q
34281709,B,64,1029400,,Q
34281720,B,3,1029300,,Q
34281720,B,97,1029300,,Q
34281720,B,48,1029300,,Q
34281978,B,15,1029300,,Q
34281978,B,37,1029300,,Q
34281978,B,1,1029300,,Q
34281978,B,100,1029200,,Q
34281979,B,39,1029200,,Q
34282078,S,20,1029600,,Q
34285294,B,32,1029200,,Q
34285343,S,32,1029300,,Q
34285343,B,37,1029300,,Q
34286428,S,32,1029500,,Q
34286439,S,20,1029600,,Q
34286439,S,20,1029600,,Q
34286439,B,11,1029500,,Q
34286439,S,100,1029600,,Q
34286439,S,11,1029600,,Q
34288015,S,100,1029700,,Q
34288015,S,20,1029700,,Q
34288242,B,25,1029700,,Q
34290788,B,100,1029400,,Q
34290788,B,64,1029400,,Q
34290789,B,64,1029200,,Q
34290790,B,3,1029200,,Q
34290790,S,8,1029300,,Q
34290904,S,96,1029500,,Q
34290906,B,27,1029600,,Q
34290906,B,8,1029600,,Q
34290908,S,8,1029500,,Q
34290911,S,20,1029900,,Q
34294249,S,25,1029900,,Q
34295140,B,32,1029500,,Q
34295141,S,25,1029800,,Q
34295141,B,100,1029800,,Q
34295141,B,49,1029800,,Q
34295141,B,11,1029700,,Q
34295141,B,26,1029600,,Q
34295776,B,5,1029200,,Q
34295776,B,95,1029200,,Q
34295776,B,39,1029200,,Q
34295777,B,2,1029200,,Q
34295777,B,10,1029200,,Q
34295777,B,49,1029200,,Q
34295777,B,100,1029200,,Q
34295777,B,10,1029200,,Q
34295777,B,57,1029200,,Q
34295777,B,16,1029200,,Q
34295777,B,27,1029200,,Q
34295777,B,73,1029200,,Q
34295777,B,17,1029200,,Q
34302852,B,20,1029000,,Q
34302852,B,20,1029000,,Q
34302852,S,3,1029100,,Q
34302852,S,8,1029100,,Q
34302852,S,9,1029100,,Q
34302852,B,16,1029000,,Q
34302852,B,4,1029000,,Q
34303326,S,23,1029100,,Q
34303326,B,14,1029100,,Q
34303326,B,6,1029100,,Q
34304296,S,4,1028800,,Q
34304296,S,36,1028800,,Q
34305838,S,32,1029200,,Q
34305838,S,45,1029200,,Q
34305838,S,17,1029300,,Q
34305838,S,15,1029300,,Q
34305838,B,17,1029300,,Q
34305838,B,32,1029300,,Q
34305838,B,32,1029300,,Q
34305838,S,12,1029300,,Q
34305838,S,8,1029300,,Q
34305882,B,2,1029300,,Q
34308168,B,100,1029000,,Q
34308168,B,13,1029000,,Q
34308168,B,12,1029000,,Q
34308168,B,1,1029000,,Q
34308169,B,87,1029000,,Q
34308169,B,100,1029000,,Q
34308169,B,100,1029000,,Q
34308169,B,88,1029000,,Q
34308174,B,12,1029000,,Q
34311283,B,72,1028900,,Q
34316388,B,1,1028800,,Q
34316388,B,95,1028800,,Q
34316388,B,5,1028800,,Q
34316389,B,4,1028800,,Q
34316452,B,96,1028800,,Q
34318012,S,10,1029300,,Q
34318012,S,90,1029300,,Q
34322379,B,8,1028700,,Q
34322379,S,21,1028900,,Q
34322786,B,21,1028700,,Q
34329580,S,2,1028800,,Q
34329580,S,30,1028800,,Q
34329581,S,32,1028900,,Q
34329581,S,20,1028900,,Q
34329581,S,11,1028900,,Q
34329581,S,20,1028900,,Q
34329581,B,7,1028900,,Q
34331286,S,14,1029100,,Q
34331286,S,77,1029100,,Q
34331287,S,15,1029200,,Q
34331287,S,4,1029300,,Q
34331287,S,28,1029300,,Q
34331388,B,50,1029300,,Q
34331388,B,50,1029300,,Q
34332569,B,23,1028900,,Q
34332572,B,77,1028900,,Q
34332572,B,96,1028900,,Q
34332572,B,12,1028900,,Q
34333591,B,100,1028800,,Q
34333591,B,8,1028800,,Q
34333593,B,5,1028500,,Q
34334581,B,7,1028400,,Q
34336239,B,2,1028300,,Q
34336239,B,98,1028300,,Q
34336370,B,32,1028100,,Q
34336370,B,25,1027800,,Q
34337834,S,50,1028100,,Q
34337834,S,50,1028100,,Q
34337834,S,10,1028100,,Q
34337835,S,4,1028100,,Q
34337835,S,64,1028200,,Q
34337836,S,59,1028300,,Q
34337836,S,4,1028300,,Q
34338046,B,100,1028200,,Q
34338047,B,38,1028100,,Q
34338047,B,34,1028100,,Q
34338087,B,50,1028000,,Q
34338239,B,100,1027900,,Q
34338239,B,1,1027900,,Q
34338303,B,8,1027800,,Q
34338304,B,82,1027800,,Q
34339041,S,100,1028200,,Q
34339059,S,1,1028300,,Q
34341474,S,10,1028400,,Q
34341474,S,15,1028400,,Q
34341474,S,7,1028400,,Q
34342017,S,5,1028600,,Q
34345035,S,32,1028800,,Q
34345035,S,50,1028800,,Q
34345035,S,18,1028900,,Q
34347227,B,50,1028500,,Q
34347227,B,7,1028300,,Q
34347231,B,5,1028200,,Q
34347738,B,2,1027800,,Q
34347738,B,1,1027800,,Q
34347738,B,8,1027800,,Q
34348297,B,50,1027600,,Q
34348297,B,18,1027500,,Q
34348297,B,500,1027400,,Q
34348297,B,8,1027400,,Q
34348297,B,8,1027700,,Q
34348299,B,100,1027300,,Q
34351217,B,100,1027800,,Q
34351217,B,100,1027800,,Q
34351218,B,100,1027700,,Q
34354779,B,12,1027700,,Q
34354779,B,88,1027700,,Q
34354779,B,14,1027700,,Q
34354780,B,100,1027500,,Q
34354780,B,5,1027500,,Q
34354780,B,15,1027500,,Q
