Time,T,Shares,Price,MPID,X
15191224,B,3,5150000,,Q
21205353,B,1,5144000,,Q
21205353,B,7,5143800,,Q
21355706,B,1,5142700,,Q
21546693,B,4,5140000,,Q
21546713,S,12,5140000,,Q
22271538,B,7,5143300,,Q
22488312,B,3,5144400,,Q
22857442,B,1,5152200,,Q
23526032,B,1,5152300,,Q
25242741,B,34,5149700,,Q
25242741,S,16,5150000,,Q
25973000,B,1,5146800,,Q
25996570,B,1,5139800,,Q
25996572,B,7,5137100,,Q
27778208,B,8,5147300,,Q
27843532,B,18,5147000,,Q
28600280,B,20,5146500,,Q
28708999,B,6,5146000,,Q
28739322,B,1,5146300,,Q
28800314,B,1,5140000,,Q
28800314,B,1,5140000,,Q
28800314,B,1,5137100,,Q
28800314,B,1,5137100,,Q
30290997,S,1,5138000,,Q
30623720,B,1,5138000,,Q
31290646,S,2,5149900,,Q
31290647,S,7,5150000,,Q
31528781,S,100,5143900,,Q
31659336,B,10,5139000,,Q
31659336,B,34,5138300,,Q
31659336,B,10,5138000,,Q
31659336,B,34,5137900,,Q
31659336,S,12,5137700,,Q
31701879,B,10,5145800,,Q
31701879,B,13,5146000,,Q
31701879,B,27,5149000,,Q
31701879,B,4,5148100,,Q
31701889,B,30,5148100,,Q
31701991,B,23,5149000,,Q
31701991,B,34,5149100,,Q
31701991,S,3,5150000,,Q
31702058,S,23,5150000,,Q
31702062,S,1,5150000,,Q
31702062,B,10,5152600,,Q
31702062,B,10,5152600,,Q
31702062,S,3,5154000,,Q
31702062,S,6,5155000,,Q
31777540,B,1,5152000,,Q
31847826,S,50,5146000,,Q
31847826,B,1,5146000,,Q
31847826,B,1,5146000,,Q
31889110,B,1,5149700,,Q
31889110,B,1,5149700,,Q
32247557,B,10,5148400,,Q
32282819,B,2,5150000,,Q
32457768,S,5,5149900,,Q
32637927,S,1,5149900,,Q
32654133,S,1,5149900,,Q
32701272,S,11,5149900,,Q
32720328,S,9,5149900,,Q
32720444,S,4,5149900,,Q
32727865,S,19,5149900,,Q
32727865,S,2,5150000,,Q
32769501,B,1,5151100,,Q
32779090,B,5,5151100,,Q
33038210,S,2,5152500,,Q
33174361,S,50,5152400,,Q
33174361,B,1,5152400,,Q
33174361,B,1,5152400,,Q
33174361,B,1,5152400,,Q
33174361,S,2,5152500,,Q
33198583,S,1,5152500,,Q
33236418,S,1,5152500,,Q
33236418,S,24,5152500,,Q
33236521,B,1,5153600,,Q
33236521,B,1,5153600,,Q
33236521,B,1,5153600,,Q
33711253,S,20,5155000,,Q
33794482,B,1,5154500,,Q
33842127,B,1,5154900,,Q
33856230,S,4,5155000,,Q
33900619,B,10,5152500,,Q
33900619,B,1,5152400,,Q
33900619,B,25,5151000,,Q
33900619,B,21,5150800,,Q
33900619,B,3,5150000,,Q
33900619,B,20,5148900,,Q
33900619,B,1,5140000,,Q
33901799,B,2,5152400,,Q
33909667,B,10,5147200,,Q
33909667,B,10,5146000,,Q
33909667,B,34,5144700,,Q
33909667,B,34,5144500,,Q
33909667,S,10,5143900,,Q
33909667,S,10,5143900,,Q
33909667,S,12,5143900,,Q
34050085,B,8,5142900,,Q
34050085,B,8,5142900,,Q
34050085,B,8,5142900,,Q
34081612,B,10,5141000,,Q
34101867,B,10,5149100,,Q
34193013,B,16,5141100,,Q
34193013,B,25,5141100,,Q
34193014,B,9,5141100,,Q
34193015,B,15,5137200,,Q
34193044,B,5,5137200,,Q
34198294,B,35,5148500,,Q
34199982,B,13,5148500,,Q
34199982,B,52,5148500,,Q
34199982,B,50,5149000,,Q
34200003,B,34,5151300,,Q
34200003,B,200,5151700,,Q
34200003,B,10,5152100,,Q
34200003,B,10,5152200,,Q
34200003,B,10,5153600,,Q
34200003,B,34,5155200,,Q
34200004,B,10,5155300,,Q
34200006,B,316,5155300,,Q
34200006,B,30,5155300,,Q
34200024,B,10,5155300,,Q
34200035,B,10,5155300,,Q
34200077,B,100,5155300,,Q
34200841,B,68,5154700,,Q
34200841,B,32,5154700,,Q
34201091,B,2,5152400,,Q
34201582,B,40,5152100,,Q
34202292,B,8,5152100,,Q
34202292,B,200,5152400,,Q
34202292,B,1,5152100,,Q
34202292,B,23,5152100,,Q
34202292,B,26,5152100,,Q
34202292,B,1,5152100,,Q
34202292,S,1,5152600,,Q
34202292,S,1,5152600,,Q
34202292,S,1,5152600,,Q
34202292,S,1,5152600,,Q
34202292,S,3,5152600,,Q
34202292,S,5,5152600,,Q
34202292,S,1,5152600,,Q
34202292,S,2,5152600,,Q
34202305,S,100,5153100,,Q
34202308,S,100,5153100,,Q
34202309,S,2,5153300,,Q
34202309,S,3,5155000,,Q
34202822,S,1,5156000,,Q
34203908,S,1,5157500,,Q
34203908,S,10,5157800,,Q
34203908,S,5,5158000,,Q
34203908,B,9,5158300,,Q
34203909,S,3,5158000,,Q
34203909,S,2,5158800,,Q
34204029,B,10,5157100,,Q
34204029,B,28,5157100,,Q
34204030,B,28,5154000,,Q
34209225,S,24,5155000,,Q
34209226,S,7,5156000,,Q
34214769,B,1,5157900,,Q
34214770,B,2,5157900,,Q
34216987,B,2,5155600,,Q
34216987,B,100,5156800,,Q
34216987,B,5,5155600,,Q
34216987,S,6,5157100,,Q
34216987,B,57,5155700,,Q
34216988,B,100,5157100,,Q
34216989,B,100,5157200,,Q
34217109,B,10,5156000,,Q
34217109,B,7,5156000,,Q
34217109,B,100,5157250,,Q
34217109,B,100,5157250,,Q
34217110,B,100,5158500,,Q
34217110,S,30,5158600,,Q
34217110,B,34,5158600,,Q
34217110,S,23,5158800,,Q
34217110,S,75,5158800,,Q
34217110,S,1,5158800,,Q
34217110,S,100,5158800,,Q
34217110,B,58,5158700,,Q
34217110,B,17,5158700,,Q
34217110,B,25,5158700,,Q
34217110,B,31,5159100,,Q
34217111,S,1,5159200,,Q
34217111,S,20,5159200,,Q
34217111,S,1,5159200,,Q
34217111,S,1,5159200,,Q
34217111,S,4,5159200,,Q
34217111,S,3,5159200,,Q
34217111,S,1,5159200,,Q
34217111,S,1,5159300,,Q
34217111,S,1,5159500,,Q
34217111,S,1,5159700,,Q
34217111,S,1,5160000,,Q
34217111,S,2,5160000,,Q
34217111,S,5,5160000,,Q
34217111,S,17,5160000,,Q
34217111,S,50,5160000,,Q
34217111,S,38,5160000,,Q
34217111,S,1,5160000,,Q
34217111,S,100,5160000,,Q
34217111,S,1,5160000,,Q
34217111,S,10,5160000,,Q
34217111,S,1,5160000,,Q
34217111,S,1,5160000,,Q
34217111,S,20,5160000,,Q
34217111,S,40,5160000,,Q
34217111,S,54,5160000,,Q
34217111,S,46,5160000,,Q
34217111,S,12,5160000,,Q
34217111,S,3,5160000,,Q
34217112,S,3,5162100,,Q
34217112,S,3,5162300,,Q
34217207,B,34,5164900,,Q
34217207,S,16,5165500,,Q
34217207,S,30,5165500,,Q
34217330,B,15,5163300,,Q
34217809,S,4,5165500,,Q
34217810,B,100,5165500,,Q
34223186,S,3,5166800,,Q
34223234,B,10,5167300,,Q
34223234,B,58,5167300,,Q
34223236,S,32,5167300,,Q
34223236,S,40,5168000,,Q
34223236,B,40,5167300,,Q
34223236,B,34,5166900,,Q
34223236,B,6,5166400,,Q
34223236,B,20,5166400,,Q
34223246,S,1,5168000,,Q
34223246,S,9,5168000,,Q
34223395,S,1,5168600,,Q
34223395,B,1,5168700,,Q
34223395,B,3,5168700,,Q
34223395,B,2,5168700,,Q
34223396,B,3,5168700,,Q
34223396,B,35,5168700,,Q
34223396,S,3,5169000,,Q
34223396,S,80,5170000,,Q
34223396,S,2,5170000,,Q
34223396,S,1,5170000,,Q
34223396,S,10,5172300,,Q
34223503,B,1,5173600,,Q
34225432,B,100,5172550,,Q
34226487,S,1,5173900,,Q
34226487,S,2,5173900,,Q
34226649,B,100,5172400,,Q
34226649,B,13,5172400,,Q
34226649,B,1700,5172300,,Q
34226649,B,13,5172300,,Q
34226649,B,13,5172300,,Q
34226649,B,7,5172300,,Q
34226649,B,1,5172100,,Q
34226649,B,9,5172100,,Q
34226649,B,22,5171700,,Q
34226650,B,15,5170100,,Q
34226650,B,85,5170100,,Q
34226650,B,85,5170100,,Q
34226650,B,115,5170100,,Q
34226650,B,11,5169900,,Q
34226650,B,69,5169900,,Q
34226650,B,20,5169900,,Q
34226650,B,5,5169800,,Q
34226650,B,88,5169700,,Q
34226650,B,212,5169700,,Q
34226651,B,7,5166400,,Q
34226651,B,4,5166400,,Q
34226651,B,7,5166400,,Q
34226651,B,5,5166400,,Q
34226651,B,6,5166400,,Q
34226651,B,5,5166400,,Q
34228534,B,1,5171300,,Q
34228728,B,1,5171700,,Q
34228997,S,1,5171900,,Q
34228997,S,8,5171900,,Q
