Time,T,Shares,Price,MPID,X
14415883,S,6,1164500,,Q
14461983,S,1,1164500,,Q
14549220,B,6,1161300,,Q
14549220,B,2,1160000,,Q
14595676,B,6,1161300,,Q
14595676,B,1,1160000,,Q
14595676,B,1,1160000,,Q
14595676,S,48,1160000,,Q
14957088,B,1,1164800,,Q
15918873,B,1,1164100,,Q
16331469,B,1,1163000,,Q
16331469,S,3,1163000,,Q
16639281,B,10,1163800,,Q
16843413,S,2,1164800,,Q
16976321,S,3,1164800,,Q
16976321,S,2,1164800,,Q
17074545,S,1,1164800,,Q
17100106,S,7,1164800,,Q
17100106,S,14,1164800,,Q
17946026,B,1,1164000,,Q
17946026,B,5,1163700,,Q
17961433,S,2,1163700,,Q
18757016,S,2,1164800,,Q
18801165,S,4,1164800,,Q
18801166,B,1,1164800,,Q
19029439,S,1,1164800,,Q
19032386,S,1,1164700,,Q
19109657,S,6,1164600,,Q
19109658,B,4,1164700,,Q
19112268,S,1,1164600,,Q
19255175,S,3,1164600,,Q
19325970,B,1,1164600,,Q
19592510,B,1,1164600,,Q
19908325,B,4,1164400,,Q
20016372,B,19,1164400,,Q
20120339,B,3,1164200,,Q
20563318,S,120,1164600,,Q
20563318,S,6,1164600,,Q
20563318,B,10,1164600,,Q
20564381,B,6,1164600,,Q
20565444,B,6,1164600,,Q
20566507,B,6,1164600,,Q
20735133,S,6,1164500,,Q
20735133,S,4,1164700,,Q
20895480,S,6,1164600,,Q
20986078,S,6,1167100,,Q
20986078,B,10,1168200,,Q
20986078,B,100,1169300,,Q
20986078,S,1,1169500,,Q
21022688,B,1,1168100,,Q
21031813,B,6,1168100,,Q
21031814,B,93,1168400,,Q
21031814,S,6,1168600,,Q
21239512,B,6,1166600,,Q
21322881,B,6,1166200,,Q
21322884,B,6,1165900,,Q
21323061,B,4,1165900,,Q
21323061,B,2,1165900,,Q
21323479,B,100,1165400,,Q
21349651,S,6,1166000,,Q
21349871,B,74,1166000,,Q
21357802,S,6,1166100,,Q
21358865,S,6,1166100,,Q
21359928,S,6,1166100,,Q
21362816,S,6,1166100,,Q
21381318,S,6,1166100,,Q
21382381,S,6,1166100,,Q
21383444,S,6,1166100,,Q
21390532,S,6,1166100,,Q
21391595,S,6,1166100,,Q
21399599,S,6,1166100,,Q
21403600,S,6,1166100,,Q
21407599,S,6,1166100,,Q
21411599,S,6,1166100,,Q
21419599,S,6,1166100,,Q
21423599,S,6,1166100,,Q
21430354,S,6,1166100,,Q
21431417,S,6,1166100,,Q
21438319,B,6,1167000,,Q
21438476,B,94,1167000,,Q
21493013,B,10,1165400,,Q
21856868,S,6,1166900,,Q
21856868,B,3,1166900,,Q
21910450,S,6,1168400,,Q
21910450,S,3,1168600,,Q
21910450,B,34,1168800,,Q
21910450,B,10,1169100,,Q
21990400,S,1,1168600,,Q
22150421,B,1,1166800,,Q
22234101,S,6,1167700,,Q
22234101,S,1,1168000,,Q
22234101,S,10,1168000,,Q
22234101,S,4,1169100,,Q
22234101,B,124,1169300,,Q
22244481,B,8,1168800,,Q
22267813,S,1,1168400,,Q
22340716,S,1,1168300,,Q
22821660,S,2,1168100,,Q
22890983,B,10,1166200,,Q
22890983,B,34,1165600,,Q
22890983,B,1,1165500,,Q
22890983,B,100,1165300,,Q
22890983,B,1,1165300,,Q
22890983,B,3,1165300,,Q
22890983,B,6,1165300,,Q
22890983,B,100,1165200,,Q
22892033,B,50,1164900,,Q
22892033,B,50,1164900,,Q
22892033,B,20,1164900,,Q
23102317,B,1,1164900,,Q
23102317,B,1,1164900,,Q
23102317,B,6,1163900,,Q
23102317,B,1,1163700,,Q
23102317,B,1,1163600,,Q
23102317,B,1,1163300,,Q
23188814,B,1,1163200,,Q
23201154,B,1,1163200,,Q
23235846,B,1,1163200,,Q
23252753,B,1,1163100,,Q
23429210,B,2,1162300,,Q
23429210,B,1,1162000,,Q
23429660,B,14,1163000,,Q
23432539,B,25,1163300,,Q
23598952,B,6,1162400,,Q
23716777,S,1,1162400,,Q
24012883,B,7,1163000,,Q
24018075,B,23,1163000,,Q
24082166,B,20,1163700,,Q
24726135,S,4,1164600,,Q
24774681,S,1,1165100,,Q
24793997,S,6,1165000,,Q
25239366,B,14,1165000,,Q
25239366,B,2,1165000,,Q
25447625,B,1,1165000,,Q
25447625,B,1,1165000,,Q
25447626,B,1,1164900,,Q
25737312,S,1,1164900,,Q
25737766,S,1,1164900,,Q
26094560,B,34,1164300,,Q
26094560,B,47,1164100,,Q
26309608,B,5,1166500,,Q
26789215,S,1,1166000,,Q
26982694,B,1,1165700,,Q
26982694,B,1,1165600,,Q
27069562,B,2,1165300,,Q
27069562,B,2,1165300,,Q
27225276,B,3,1165100,,Q
27544382,B,10,1164400,,Q
27544382,B,53,1164300,,Q
27544382,B,50,1164300,,Q
27544387,S,1,1164300,,Q
27544387,S,1,1164300,,Q
27544400,S,17,1164300,,Q
27545165,S,20,1164300,,Q
27545298,S,98,1164300,,Q
27669553,S,1,1164500,,Q
27804092,S,2,1164500,,Q
27804141,S,4,1164500,,Q
27936379,B,2,1164200,,Q
28049486,B,3,1164200,,Q
28198227,B,34,1165100,,Q
28206295,B,60,1164200,,Q
28453562,B,1,1165000,,Q
28637862,B,1,1165000,,Q
28667265,B,45,1164300,,Q
28667265,B,5,1164200,,Q
28721786,B,10,1164200,,Q
28741020,S,2,1164200,,Q
28741020,S,18,1164200,,Q
28868624,S,1,1164500,,Q
28932091,S,1,1164500,,Q
28932091,S,5,1164500,,Q
28932091,S,2,1164600,,Q
28997829,B,100,1164100,,Q
28997829,B,2,1164000,,Q
28997829,B,1,1164000,,Q
28997830,B,7,1163900,,Q
28997830,B,1,1163900,,Q
28997830,B,1,1163700,,Q
29102812,B,1,1164200,,Q
29124572,B,1,1164200,,Q
29283700,B,4,1163500,,Q
29312419,B,4,1163500,,Q
29508072,S,5,1164300,,Q
29542998,S,1,1164500,,Q
29581304,S,7,1164500,,Q
29601142,S,5,1164500,,Q
29625416,S,3,1164500,,Q
29632345,S,1,1164500,,Q
29645983,S,1,1164500,,Q
29756358,B,3,1163700,,Q
29801245,B,12,1163500,,Q
29871075,B,2,1163500,,Q
29880119,B,2,1164400,,Q
29897180,B,4,1163500,,Q
29912301,B,6,1163500,,Q
30136183,S,1,1164500,,Q
30185566,B,70,1163500,,Q
30220100,S,1,1164500,,Q
30314903,S,1,1164500,,Q
30326582,S,1,1164500,,Q
30330934,B,18,1163600,,Q
30339160,S,3,1164400,,Q
30379654,B,8,1163500,,Q
30400019,S,4,1164400,,Q
30403812,B,3,1163500,,Q
30469106,S,1,1164400,,Q
30741437,S,3,1164400,,Q
30778527,S,2,1164400,,Q
30839755,S,1,1164400,,Q
30879357,S,1,1164300,,Q
30884987,B,44,1164100,,Q
30892852,S,5,1164300,,Q
30924833,S,4,1164400,,Q
30924833,S,10,1164400,,Q
30924833,S,1,1164400,,Q
30924833,S,32,1164400,,Q
30924834,S,50,1164400,,Q
30924834,S,18,1164400,,Q
30924834,S,7,1164400,,Q
30924834,B,1,1164400,,Q
30924834,B,1,1164400,,Q
30924834,B,1,1164400,,Q
30924834,S,34,1164500,,Q
30924834,S,2,1164600,,Q
30924834,B,1,1164800,,Q
30924834,B,1,1164800,,Q
30924834,B,1,1164800,,Q
30951564,B,10,1164300,,Q
31281791,S,10,1164900,,Q
31317466,S,1,1164600,,Q
