Time,T,Shares,Price,MPID,X
14414201,S,1,7153000,,Q
14414261,S,77,7153000,,Q
14414271,S,1,7153000,,Q
14414274,S,1,7153000,,Q
14414562,S,1,7153000,,Q
14414615,S,1,7153000,,Q
14414616,S,70,7153000,,Q
14414776,S,1,7153000,,Q
14414778,S,1,7153000,,Q
14414780,S,1,7153000,,Q
14414781,S,1,7153000,,Q
14417917,B,2,7151900,,Q
14426130,B,5,7147700,,Q
14429633,B,1,7149800,,Q
14434294,B,1,7149800,,Q
14442234,S,1,7149800,,Q
14442889,S,1,7149800,,Q
14443467,S,2,7149800,,Q
14450337,B,1,7147700,,Q
14455570,B,5,7145000,,Q
14455570,B,1,7142400,,Q
14456063,S,2,7145000,,Q
14459590,S,2,7145000,,Q
14459590,S,14,7145000,,Q
14461385,S,2,7145000,,Q
14461385,S,10,7145000,,Q
14461385,S,10,7148400,,Q
14461385,B,77,7149800,,Q
14468633,B,50,7149800,,Q
14476108,B,9,7148000,,Q
14476217,B,1,7148000,,Q
14483244,B,2,7145000,,Q
14483471,B,1,7145000,,Q
14488199,B,95,7147700,,Q
14517323,B,14,7145500,,Q
14530161,B,11,7145500,,Q
14534101,S,14,7145500,,Q
14534101,S,10,7147400,,Q
14534101,S,1,7147700,,Q
14534101,S,5,7147700,,Q
14534101,S,1,7148000,,Q
14534101,B,69,7149600,,Q
14540190,S,14,7145500,,Q
14542238,S,1,7145500,,Q
14543848,S,1,7145500,,Q
14544013,S,18,7145500,,Q
14545431,B,30,7146000,,Q
14552167,B,1,7149000,,Q
14557359,B,13,7149000,,Q
14562365,B,1,7146000,,Q
14583140,S,8,7149600,,Q
14583140,S,2,7149600,,Q
14583140,S,2,7149800,,Q
14583140,S,1,7150000,,Q
14583140,S,2,7150000,,Q
14586996,S,11,7153000,,Q
14587041,S,1,7153000,,Q
14587082,S,5,7153000,,Q
14587276,S,97,7153000,,Q
14587776,S,200,7153000,,Q
14588216,S,50,7153000,,Q
14588390,S,200,7153000,,Q
14588748,S,59,7153000,,Q
14588817,S,89,7153000,,Q
14589972,S,100,7153000,,Q
14589979,S,82,7153000,,Q
14589979,S,6,7153000,,Q
14590016,B,10,7153100,,Q
14590385,S,1,7155000,,Q
14591173,S,14,7155000,,Q
14591677,S,2,7155000,,Q
14591988,S,100,7155000,,Q
14592255,S,16,7155000,,Q
14592462,S,1,7155000,,Q
14592477,S,1,7155000,,Q
14592927,S,165,7155000,,Q
14593224,B,2,7158900,,Q
14593423,B,1,7158900,,Q
14593519,B,25,7159500,,Q
14593519,S,25,7159600,,Q
14594108,B,1,7161300,,Q
14594399,S,1,7160000,,Q
14594399,B,7,7161300,,Q
14596625,B,30,7161300,,Q
14597817,B,19,7159200,,Q
14602140,B,1,7159200,,Q
14604582,B,5,7159200,,Q
14625304,B,1,7158900,,Q
14631627,B,6,7155100,,Q
14641193,B,2,7158700,,Q
14642712,B,1,7155100,,Q
14650030,B,29,7155100,,Q
14650030,B,1,7155100,,Q
14650030,B,94,7155100,,Q
14650030,B,25,7155100,,Q
14650045,S,3,7155000,,Q
14651250,S,1,7155000,,Q
14652009,S,2,7155000,,Q
14654746,B,1,7154500,,Q
14661035,B,1,7150400,,Q
14661035,B,1,7150400,,Q
14661035,B,2,7150100,,Q
14661035,B,1,7150100,,Q
14661035,B,92,7150100,,Q
14661035,B,1,7150000,,Q
14661035,B,100,7150000,,Q
14661035,B,2,7150000,,Q
14661035,B,1,7150000,,Q
14661035,B,1,7150000,,Q
14661035,B,1,7150000,,Q
14661035,B,9,7150000,,Q
14667555,B,1,7150000,,Q
14671724,B,1,7146100,,Q
14686301,B,1,7146100,,Q
14686302,S,1,7146100,,Q
14691167,B,8,7149000,,Q
14707190,B,2,7148700,,Q
14710399,B,1,7146100,,Q
14727484,B,29,7146100,,Q
14727484,B,1,7146000,,Q
14727484,B,3,7145100,,Q
14727484,B,1,7145100,,Q
14727484,B,7,7145100,,Q
14727484,B,23,7145100,,Q
14727484,B,1,7145000,,Q
14727484,B,1,7143900,,Q
14727484,B,1,7143400,,Q
14728155,B,6,7146300,,Q
14742159,B,17,7144200,,Q
14742159,B,8,7142100,,Q
14743684,B,1,7141600,,Q
14744440,S,2,7141600,,Q
14744440,S,2,7145000,,Q
14744440,B,6,7146000,,Q
14759745,B,2,7145000,,Q
14766054,B,1,7144800,,Q
14781526,S,3,7142600,,Q
14781526,B,9,7144400,,Q
14800811,S,6,7142500,,Q
14800811,S,1,7143000,,Q
14800811,S,5,7143000,,Q
14800811,B,6,7143900,,Q
14804852,B,1,7141000,,Q
14804852,B,6,7141000,,Q
14804852,B,3,7140900,,Q
14804852,B,1,7140000,,Q
14804852,B,1,7140000,,Q
14804852,B,1,7140000,,Q
14804852,B,20,7139900,,Q
14804852,B,5,7137800,,Q
14807179,B,12,7137900,,Q
14817473,B,25,7133700,,Q
14817473,B,25,7132400,,Q
14817473,B,25,7131900,,Q
14817473,B,2,7131000,,Q
14817473,B,1,7130000,,Q
14817473,B,10,7130000,,Q
14817473,B,1,7130000,,Q
14817473,B,7,7127700,,Q
14817473,B,82,7127500,,Q
14817813,B,13,7132500,,Q
14821922,B,25,7137300,,Q
14821922,B,19,7138900,,Q
14829010,S,3,7132500,,Q
14847859,B,2,7138700,,Q
14851094,B,1,7138700,,Q
14868346,S,20,7138700,,Q
14875011,S,1,7138700,,Q
14875263,S,1,7138700,,Q
14875772,S,1,7138700,,Q
14888798,S,10,7138000,,Q
14890996,B,4,7138200,,Q
14892192,B,1,7138200,,Q
14894731,B,1,7138200,,Q
14895120,B,1,7138200,,Q
14898252,B,1,7138100,,Q
14899427,B,2,7132700,,Q
14901330,B,1,7138100,,Q
14903652,B,13,7138100,,Q
14910617,B,1,7138100,,Q
14916324,B,13,7137800,,Q
14948483,S,8,7137800,,Q
14950067,S,10,7137800,,Q
14951493,S,20,7137800,,Q
14951493,B,4,7137800,,Q
14984274,S,1,7135000,,Q
15007016,S,7,7135000,,Q
15018891,B,19,7133400,,Q
15018891,B,25,7132700,,Q
15021980,B,7,7132000,,Q
15025217,B,27,7132000,,Q
15025217,B,73,7132000,,Q
15027961,B,1,7130000,,Q
15027961,B,5,7130000,,Q
15029741,B,66,7129700,,Q
15029741,S,15,7130000,,Q
15029741,B,93,7132000,,Q
15029741,S,1,7132100,,Q
15042157,S,9,7129800,,Q
15049578,B,1,7127500,,Q
15052477,S,188,7129800,,Q
15052478,S,2,7130000,,Q
15061624,B,1,7130000,,Q
15061624,B,5,7129800,,Q
15073183,B,10,7134500,,Q
15073183,S,15,7135000,,Q
15073183,S,19,7135000,,Q
15073183,B,100,7136600,,Q
15073183,S,15,7136700,,Q
