Time,T,Shares,Price,MPID,X
14823224,S,1,647900,,Q
14850585,S,1,647900,,Q
17043698,B,17,644900,,Q
17648877,B,4,645000,,Q
18005159,B,1,645100,,Q
18024127,B,1,645100,,Q
19017647,B,2,645200,,Q
19971487,S,1,646000,,Q
21181528,B,10,645200,,Q
22500424,B,1,645600,,Q
23806353,B,32,645500,,Q
23806353,B,17,645300,,Q
24105127,B,10,645300,,Q
25200283,S,2,646000,,Q
25863283,S,7,645500,,Q
25964508,S,1,646000,,Q
27453508,B,34,645900,,Q
27467171,S,116,645800,,Q
27467171,S,1,646100,,Q
27479480,B,1,646200,,Q
27586723,B,1,645600,,Q
27778208,B,67,646500,,Q
27827028,B,100,646500,,Q
28928437,B,40,645500,,Q
28942127,B,10,645300,,Q
29234221,B,34,644900,,Q
29234221,S,100,645000,,Q
29239455,S,1,645000,,Q
29445433,S,5,645300,,Q
29575865,S,10,645400,,Q
30028534,S,1,646100,,Q
30426976,B,250,646000,,Q
30565462,S,10,646000,,Q
30565466,B,100,646600,,Q
30565466,B,200,646600,,Q
30565467,B,300,646600,,Q
30592258,S,50,646700,,Q
30622070,B,1,645700,,Q
30802846,B,1,645400,,Q
30812547,S,200,645400,,Q
31724706,S,50,645000,,Q
32148524,B,30,644500,,Q
32148525,B,34,645000,,Q
32148525,S,1,645100,,Q
32148525,B,1,644500,,Q
32149577,B,34,645000,,Q
32149577,S,50,645100,,Q
32304984,B,1,645000,,Q
32318187,S,1,645000,,Q
32365243,B,2,645300,,Q
32457765,B,2,645300,,Q
32484857,S,50,645000,,Q
32542077,B,200,644500,,Q
32542079,B,30,645100,,Q
32634079,S,18,645000,,Q
32676075,S,1,644700,,Q
32768548,B,19,644100,,Q
32873023,B,50,645000,,Q
32873026,B,50,645000,,Q
32873026,B,34,645100,,Q
32888470,B,3,644500,,Q
32894018,B,1,644500,,Q
32895120,B,3,644500,,Q
32907907,B,27,644500,,Q
33250346,B,34,645100,,Q
33594898,S,13,645100,,Q
33668050,S,58,644700,,Q
33752848,S,1,644700,,Q
33799243,S,21,644600,,Q
33994444,B,100,645100,,Q
34190097,B,17,643700,,Q
34190097,B,83,643500,,Q
34199095,B,34,643700,,Q
34201580,B,1,643900,,Q
34201580,B,45,643900,,Q
34212827,B,1,644700,,Q
34212828,B,1,644700,,Q
34212830,B,1,644600,,Q
34212833,B,1,644700,,Q
34214083,B,31,644000,,Q
34214094,B,5,644400,,Q
34214094,B,3,644400,,Q
34214169,S,36,645000,,Q
34214169,S,100,645300,,Q
34214169,S,2,645600,,Q
34214169,S,100,645700,,Q
34214169,S,281,645700,,Q
34214208,B,100,645100,,Q
34214209,B,35,645200,,Q
34214209,B,28,645300,,Q
34215868,B,1,645600,,Q
34217810,B,11,645300,,Q
34217812,B,10,645300,,Q
34217815,B,10,645300,,Q
34217818,B,4,645300,,Q
34236057,B,30,645200,,Q
34236057,S,36,645300,,Q
34236058,B,600,645400,,Q
34238167,B,5,644600,,Q
34267003,B,10,645150,,Q
34267003,S,1,645300,,Q
34267003,S,14,645300,,Q
34276154,B,100,644600,,Q
34276154,B,50,644500,,Q
34277165,B,7,645100,,Q
34277165,B,43,645100,,Q
34279042,B,50,645100,,Q
34322955,B,100,645100,,Q
34322955,B,200,645100,,Q
34322955,B,50,645100,,Q
34322957,B,100,645000,,Q
34322957,B,100,645000,,Q
34322958,B,90,644800,,Q
34326673,S,100,645100,,Q
34326674,B,7,645100,,Q
34333146,B,2,645100,,Q
34338891,B,1,645200,,Q
34338891,B,100,645200,,Q
34341782,B,100,644800,,Q
34341783,B,49,644500,,Q
34341783,B,11,644500,,Q
34341783,B,13,644400,,Q
34341783,B,87,644400,,Q
34341851,B,33,644500,,Q
34341851,B,57,644500,,Q
34351189,B,100,644300,,Q
34376487,S,4,645200,,Q
34376487,S,3,645200,,Q
34376511,S,35,645600,,Q
34380389,S,9,645700,,Q
34381135,S,85,645700,,Q
34382984,S,1,645900,,Q
34382990,S,15,646000,,Q
34383020,S,18,646300,,Q
34383021,B,100,646300,,Q
34383021,B,96,646300,,Q
34384267,S,21,646500,,Q
34384268,B,100,646500,,Q
34387254,S,5,646700,,Q
34388250,S,11,646700,,Q
34389626,B,36,646600,,Q
34389626,B,34,646600,,Q
34389626,B,150,646600,,Q
34389626,B,116,646600,,Q
34389644,B,4,646300,,Q
34389644,S,100,646400,,Q
34389644,S,19,646400,,Q
34389644,B,110,646400,,Q
34389644,B,100,646400,,Q
34389644,B,14,646300,,Q
34389644,B,16,646300,,Q
34389644,S,48,646400,,Q
34389644,S,48,646400,,Q
34389644,S,4,646400,,Q
34389644,S,48,646400,,Q
34389644,S,52,646400,,Q
34389644,S,52,646400,,Q
34389644,S,48,646400,,Q
34389644,S,4,646400,,Q
34389644,S,14,646400,,Q
34389644,S,16,646400,,Q
34389644,S,49,646400,,Q
34389644,S,89,646400,,Q
34389644,B,17,646300,,Q
34389644,B,20,646300,,Q
34389644,B,100,646300,,Q
34389645,S,15,646400,,Q
34390570,B,1,646400,,Q
34390570,B,99,646400,,Q
34390570,B,100,646400,,Q
34393786,S,1,646800,,Q
34393939,S,30,647200,,Q
