Time,T,Shares,Price,MPID,X
14599251,S,1,1495300,,Q
14891809,S,11,1495000,,Q
15221320,S,3,1497000,,Q
15860742,S,6,1496900,,Q
16126979,S,6,1498000,,Q
16126979,B,4,1498000,,Q
16348253,S,6,1497500,,Q
16726515,B,1,1497400,,Q
16937095,B,1,1495100,,Q
16937096,S,49,1495100,,Q
18305342,B,1,1493100,,Q
19996179,B,5,1495100,,Q
20161886,B,1,1495200,,Q
20161886,B,7,1495200,,Q
20161886,B,10,1495200,,Q
20161886,B,10,1495200,,Q
20161886,B,5,1495200,,Q
22275762,B,100,1494700,,Q
22286194,B,100,1494600,,Q
22622372,B,1,1494000,,Q
22770029,S,6,1493500,,Q
22935396,B,9,1494300,,Q
22935397,S,3,1494500,,Q
22935397,S,6,1494600,,Q
24797791,B,7,1494100,,Q
25200066,B,5,1494000,,Q
25200068,S,3,1494100,,Q
25218523,S,6,1494600,,Q
25218523,B,7,1494700,,Q
25218523,B,10,1494700,,Q
25222903,B,34,1494700,,Q
25222903,B,34,1494700,,Q
25434418,B,5,1494700,,Q
25465840,B,100,1494700,,Q
25469874,B,1,1494700,,Q
25511059,B,100,1494700,,Q
25513506,B,34,1495800,,Q
25513506,B,10,1495900,,Q
25513510,B,34,1496300,,Q
25725265,B,34,1495900,,Q
25725267,B,10,1496000,,Q
26596051,B,34,1496500,,Q
26596051,B,16,1496500,,Q
26931221,B,340,1496000,,Q
26931289,B,34,1496000,,Q
26931302,B,100,1496000,,Q
26931302,B,26,1496000,,Q
26980615,B,34,1494300,,Q
27055774,B,30,1495800,,Q
27549272,B,10,1494000,,Q
27549275,B,28,1493500,,Q
27700512,B,60,1493500,,Q
28391748,S,7,1494000,,Q
28400316,S,81,1494000,,Q
28569259,B,3,1494100,,Q
28784445,B,10,1493600,,Q
28784446,B,34,1493500,,Q
29106701,B,1,1493900,,Q
29935972,B,1,1492900,,Q
30226287,B,1,1492000,,Q
30539877,S,1,1493000,,Q
30539877,S,7,1493000,,Q
30722622,B,40,1492000,,Q
30722622,B,100,1492000,,Q
30722622,B,53,1492000,,Q
30722622,B,10,1492000,,Q
30722622,B,34,1492000,,Q
